index,stadium_name,lon,lat,attendance
245,Right to Dream Park,55.70270425,12.57226378,4637
246,Harboe Arena Slagelse,55.81619865,12.35303259,2703
247,Aalborg Portland Park,55.40040215,11.36431815,5357
248,Sydbank Park,57.05203525,9.898599342,5535
249,MASCOT PARK (Silkeborg),55.2613291,9.4877072,3081
250,MCH Arena,56.184187,9.575152258,6669
251,Blue Water Arena,56.1169164,8.951716477,10650
252,Right to Dream Park,55.48194305,8.438397123,4425
253,HDS Arena,55.81619865,12.35303259,4968
254,EWII Park (Odense),55.7211638,12.3686863,5587
255,Harboe Arena Slagelse,55.397745,10.35022493,2667
256,BioNutria Park Randers,55.40040215,11.36431815,5021
257,Telia Parken,56.46607165,10.01015413,15236
258,Brøndby Stadion,55.70270425,12.57226378,15412
259,Aalborg Portland Park,55.6503299,12.4170778,9923
260,Right to Dream Park,57.05203525,9.898599342,3512
261,MCH Arena,55.81619865,12.35303259,8662
262,Brøndby Stadion,56.1169164,8.951716477,12190
263,Telia Parken,55.6503299,12.4170778,10723
264,Blue Water Arena,55.70270425,12.57226378,6478
265,MASCOT PARK (Silkeborg),55.48194305,8.438397123,2160
266,Sydbank Park,56.184187,9.575152258,4174
267,BioNutria Park Randers,55.2613291,9.4877072,5135
268,HDS Arena,56.46607165,10.01015413,4738
269,Blue Water Arena,55.7211638,12.3686863,10077
270,Right to Dream Park,55.48194305,8.438397123,4016
271,MCH Arena,55.81619865,12.35303259,6543
272,Harboe Arena Slagelse,56.1169164,8.951716477,2602
273,EWII Park (Odense),55.40040215,11.36431815,8011
274,Telia Parken,55.397745,10.35022493,21413
275,Brøndby Stadion,55.70270425,12.57226378,12497
276,Aalborg Portland Park,55.6503299,12.4170778,6240
277,MASCOT PARK (Silkeborg),57.05203525,9.898599342,3587
278,BioNutria Park Randers,56.184187,9.575152258,3929
279,Sydbank Park,56.46607165,10.01015413,4428
280,Aalborg Portland Park,55.2613291,9.4877072,6369
281,HDS Arena,57.05203525,9.898599342,4389
282,Right to Dream Park,55.7211638,12.3686863,4567
283,Harboe Arena Slagelse,55.81619865,12.35303259,1849
284,Blue Water Arena,55.40040215,11.36431815,6057
285,Telia Parken,55.48194305,8.438397123,8456
286,EWII Park (Odense),55.70270425,12.57226378,5927
287,Brøndby Stadion,55.397745,10.35022493,12647
288,MCH Arena,55.6503299,12.4170778,8005
289,Sydbank Park,56.1169164,8.951716477,2609
290,MASCOT PARK (Silkeborg),55.2613291,9.4877072,1866
291,HDS Arena,56.184187,9.575152258,3884
292,Right to Dream Park,55.7211638,12.3686863,5168
293,Aalborg Portland Park,55.81619865,12.35303259,7437
294,MCH Arena,57.05203525,9.898599342,6778
295,BioNutria Park Randers,56.1169164,8.951716477,4551
296,EWII Park (Odense),56.46607165,10.01015413,5025
297,Harboe Arena Slagelse,55.397745,10.35022493,2377
298,Brøndby Stadion,55.40040215,11.36431815,19304
299,Telia Parken,55.6503299,12.4170778,17499
300,Blue Water Arena,55.70270425,12.57226378,5150
301,Right to Dream Park,55.48194305,8.438397123,3316
