index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off
54,13-14,Sep 27 2013,10,N/A,Energi Viborg Arena,4532,Viborg,Vestsjælland,Won,Lost,3,0,2,0,0,0,10,6,0.48,0.52,4,5,0,0,0,0,6,11,2.36,3.43,3.17,0,0,0,0,4,0,6,6
55,13-14,Sep 28 2013,10,N/A,Brøndby Stadion,21798,Brøndby,København,Won,Lost,3,0,3,2,2,0,8,8,0.47,0.53,16,8,0,1,2,0,4,5,3.44,3.55,2.19,0,0,0,0,6,0,2,8
56,13-14,Sep 29 2013,10,N/A,Blue Water Arena,7741,Esbjerg,Sønderjyske,Won,Lost,3,0,4,1,2,0,16,11,0.52,0.48,13,14,0,0,3,5,4,6,2,3.6,3.97,0,0,0,0,9,3,7,8
57,13-14,Sep 29 2013,10,N/A,Aalborg Portland Park,7447,AaB,AGF,Draw,Draw,1,1,0,0,0,0,6,6,0.47,0.53,5,16,0,0,0,1,1,3,2.07,3.67,3.64,0,0,0,0,2,2,4,4
58,13-14,Sep 29 2013,10,N/A,EWII Park (Odense),8633,OB,Midtjylland,Draw,Draw,1,1,1,1,0,1,8,10,0.49,0.51,11,15,0,0,2,3,2,8,3.44,3.65,2.15,0,0,0,0,6,5,2,5
59,13-14,Sep 30 2013,10,N/A,Right to Dream Park,4417,Nordsjælland,Randers,Won,Lost,3,0,1,0,1,0,10,9,0.53,0.47,11,15,0,0,2,1,4,2,2.07,3.6,3.71,0,0,0,0,3,0,7,9
60,13-14,Oct 05 2013,11,N/A,BioNutria Park Randers,7025,Randers,AGF,Draw,Draw,1,1,2,2,2,1,10,11,0.52,0.48,15,3,0,0,1,1,4,4,2.45,3.5,3.02,0,0,0,0,5,4,5,7
61,13-14,Oct 06 2013,11,N/A,Blue Water Arena,6967,Esbjerg,OB,Lost,Won,0,3,1,3,1,1,17,6,0.53,0.47,11,10,0,0,1,2,6,3,1.9,3.84,4.09,0,0,0,0,13,4,4,2
62,13-14,Oct 06 2013,11,N/A,Aalborg Portland Park,6872,AaB,Viborg,Won,Lost,3,0,3,1,2,1,17,9,0.51,0.49,7,12,0,0,2,1,11,4,1.74,3.96,5.01,0,0,0,0,6,4,11,5
63,13-14,Oct 06 2013,11,N/A,Telia Parken,12258,København,Sønderjyske,Won,Lost,3,0,2,1,1,0,21,8,0.51,0.49,10,9,0,0,2,1,7,2,1.5,4.53,7.11,0,0,0,0,7,2,14,6
64,13-14,Oct 06 2013,11,N/A,Right to Dream Park,9726,Nordsjælland,Brøndby,Draw,Draw,1,1,1,1,0,1,7,9,0.49,0.51,18,16,0,0,3,2,4,4,2.57,3.48,2.83,0,0,0,0,4,3,3,6
65,13-14,Oct 07 2013,11,N/A,MCH Arena,6195,Midtjylland,Vestsjælland,Draw,Draw,1,1,2,2,1,0,12,9,0.53,0.47,11,8,1,0,1,2,4,4,1.64,4.05,5.76,0,0,0,0,6,4,6,5
66,13-14,Oct 18 2013,12,N/A,Ceres Park,7040,AGF,Nordsjælland,Lost,Won,0,3,0,1,0,0,11,10,0.47,0.53,11,9,0,0,1,1,5,1,2.53,3.48,2.88,0,0,0,0,4,2,7,8
67,13-14,Oct 19 2013,12,N/A,MCH Arena,6857,Midtjylland,Randers,Draw,Draw,1,1,1,1,1,0,10,6,0.5,0.5,15,8,0,0,2,2,3,6,1.67,4.01,5.47,0,0,0,0,5,3,5,3
68,13-14,Oct 20 2013,12,N/A,Harboe Arena Slagelse,3213,Vestsjælland,Esbjerg,Won,Lost,3,0,2,1,1,0,11,8,0.49,0.51,3,12,0,1,1,2,5,9,3.7,3.52,2.1,0,0,0,0,4,4,7,4
69,13-14,Oct 20 2013,12,N/A,Brøndby Stadion,16607,Brøndby,Viborg,Draw,Draw,1,1,0,0,0,0,12,9,0.53,0.47,9,13,0,0,0,1,4,6,1.62,4.2,5.77,0,0,0,0,4,2,8,7
70,13-14,Oct 20 2013,12,N/A,Telia Parken,13693,København,AaB,Won,Lost,3,0,3,0,1,0,5,4,0.48,0.52,6,16,0,0,1,4,2,5,1.76,3.98,3.72,0,0,0,0,0,2,5,2
71,13-14,Oct 21 2013,12,N/A,Sydbank Park,3169,Sønderjyske,OB,Lost,Won,0,3,1,5,0,1,14,13,0.49,0.51,6,9,0,0,1,0,5,9,2.58,3.55,2.77,0,0,0,0,2,9,12,4
72,13-14,Oct 25 2013,13,N/A,Energi Viborg Arena,4221,Viborg,Vestsjælland,Won,Lost,3,0,4,1,1,1,7,14,0.5,0.5,9,6,0,0,2,2,6,9,2.34,3.38,3.26,0,0,0,0,2,5,5,9
73,13-14,Oct 26 2013,13,N/A,Right to Dream Park,5911,Nordsjælland,Midtjylland,Won,Lost,3,0,2,1,1,1,14,15,0.49,0.51,12,16,0,0,0,2,5,5,2.9,3.49,2.51,0,0,0,0,6,10,8,5
74,13-14,Oct 27 2013,13,N/A,Aalborg Portland Park,5469,AaB,Sønderjyske,Won,Lost,3,0,2,0,0,0,17,7,0.51,0.49,9,13,0,0,1,2,5,7,1.78,3.87,4.86,0,0,0,0,8,0,9,7
75,13-14,Oct 27 2013,13,N/A,BioNutria Park Randers,5506,Randers,København,Draw,Draw,1,1,1,1,1,0,12,19,0.53,0.47,10,10,0,0,2,1,4,12,4,3.65,1.99,0,0,0,0,6,7,6,12
76,13-14,Oct 27 2013,13,N/A,EWII Park (Odense),11524,OB,Brøndby,Draw,Draw,1,1,0,0,0,0,17,11,0.5,0.5,7,12,0,0,2,1,6,4,2.87,3.64,2.46,0,0,0,0,9,9,8,2
77,13-14,Oct 28 2013,13,N/A,Blue Water Arena,4165,Esbjerg,AGF,Lost,Won,0,3,0,2,0,1,17,8,0.41,0.59,14,12,0,0,2,2,5,6,2.12,3.63,3.56,0,0,0,0,7,3,10,5
78,13-14,Nov 01 2013,14,N/A,Sydbank Park,1761,Sønderjyske,Randers,Lost,Won,0,3,1,3,1,2,8,7,0.57,0.43,17,12,0,0,3,1,5,6,2.87,3.34,2.61,0,0,0,0,3,5,5,2
79,13-14,Nov 02 2013,14,N/A,Telia Parken,15397,København,Nordsjælland,Won,Lost,3,0,4,0,0,0,13,8,0.45,0.55,12,9,0,0,0,1,5,3,1.75,3.93,4.93,0,0,0,0,5,4,8,4
80,13-14,Nov 02 2013,14,N/A,Aalborg Portland Park,5289,AaB,OB,Won,Lost,3,0,1,0,0,0,18,10,0.46,0.54,6,7,0,0,1,1,5,8,1.98,3.74,3.88,0,0,0,0,10,6,8,4
81,13-14,Nov 03 2013,14,N/A,Ceres Park,6785,AGF,Viborg,Won,Lost,3,0,2,1,1,0,10,6,0.47,0.53,7,14,0,0,1,2,8,4,1.83,3.76,4.62,0,0,0,0,6,3,4,3
82,13-14,Nov 03 2013,14,N/A,MCH Arena,6726,Midtjylland,Esbjerg,Won,Lost,3,0,3,0,1,0,2,9,0.59,0.41,16,11,0,0,2,1,5,11,2.11,3.56,3.63,0,0,0,0,2,4,0,5
83,13-14,Nov 04 2013,14,N/A,Harboe Arena Slagelse,5258,Vestsjælland,Brøndby,Lost,Won,0,3,0,2,0,0,14,10,0.61,0.39,16,10,0,0,2,1,2,5,3.56,3.49,2.16,0,0,0,0,5,7,9,3
84,13-14,Nov 08 2013,15,N/A,Energi Viborg Arena,7563,Viborg,Midtjylland,Lost,Won,0,3,2,3,0,1,14,8,0.52,0.48,11,11,0,1,2,3,3,4,3.76,3.63,2.05,0,0,0,0,7,4,7,4
85,13-14,Nov 09 2013,15,N/A,Right to Dream Park,3217,Nordsjælland,Sønderjyske,Won,Lost,3,0,3,0,2,0,15,7,0.42,0.58,15,14,0,0,2,1,9,8,1.69,3.95,5.37,0,0,0,0,6,5,9,2
86,13-14,Nov 10 2013,15,N/A,EWII Park (Odense),7813,OB,Vestsjælland,Lost,Won,0,3,1,3,0,2,9,9,0.45,0.55,4,8,0,0,0,2,5,6,1.83,3.74,4.62,0,0,0,0,4,3,5,6
87,13-14,Nov 10 2013,15,N/A,Blue Water Arena,7663,Esbjerg,København,Draw,Draw,1,1,1,1,1,0,12,8,0.57,0.43,16,4,0,0,4,1,3,6,4.02,3.62,1.98,0,0,0,0,8,4,4,4
88,13-14,Nov 10 2013,15,N/A,Brøndby Stadion,12790,Brøndby,AGF,Won,Lost,3,0,3,0,0,0,10,10,0.42,0.58,10,14,0,0,2,0,0,8,2.1,3.58,3.63,0,0,0,0,6,5,4,5
89,13-14,Nov 11 2013,15,N/A,BioNutria Park Randers,5624,Randers,AaB,Lost,Won,0,3,1,4,0,2,11,7,0.46,0.54,16,11,1,0,5,5,4,4,3.2,3.46,2.33,0,0,0,0,4,4,7,3
90,13-14,Nov 22 2013,16,N/A,Sydbank Park,1656,Sønderjyske,Esbjerg,Won,Lost,3,0,1,0,1,0,15,15,0.55,0.45,11,7,1,1,3,1,5,4,3.58,3.5,2.15,0,0,0,0,8,7,7,8
91,13-14,Nov 23 2013,16,N/A,BioNutria Park Randers,3824,Randers,OB,Draw,Draw,1,1,1,1,1,0,5,8,0.5,0.5,14,16,0,0,1,2,8,2,2.54,3.43,2.9,0,0,0,0,3,6,2,2
92,13-14,Nov 24 2013,16,N/A,Ceres Park,5959,AGF,Vestsjælland,Draw,Draw,1,1,2,2,1,1,8,12,0.52,0.48,12,13,0,0,3,3,4,3,2.02,3.54,4,0,0,0,0,5,9,3,3
