index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off
1140,18-19,Sep 16 2018,9,N/A,Ceres Park,5410,Horsens,AGF,Won,Lost,3,0,3,2,3,1,13,14,0.59,0.41,11,15,0,1,1,2,4,3,3.05,3.05,2.45,1.15,0.93,1.63,1.63,7,4,6,10
1141,18-19,Sep 16 2018,9,Jakob Kehlet,Brøndby Stadion,16501,Brøndby,Sønderjyske,Lost,Won,0,3,2,4,2,2,14,14,0.34,0.66,9,16,0,0,1,2,3,11,1.38,4.8,7.5,1.92,1.33,1.56,1.66,4,7,10,7
1142,18-19,Sep 16 2018,9,Mads-Kristoffer Kristoffersen,Blue Water Arena,10973,Midtjylland,København,Won,Lost,3,0,3,1,1,0,11,7,0.59,0.41,23,11,0,0,1,3,2,4,2.8,3.4,2.4,1.76,1.68,1.35,0.92,6,3,5,4
1143,18-19,Sep 17 2018,9,Benjamin Willaume-Jantzen,Right to Dream Park,5716,AaB,Vejle,Draw,Draw,1,1,1,1,1,0,11,13,0.48,0.52,8,9,0,0,1,1,7,2,1.95,3.3,3.95,1.34,1.21,1.56,1.85,6,12,5,1
1144,18-19,Sep 21 2018,10,N/A,Nord Energi Arena,5154,Vejle,Esbjerg,Won,Lost,3,0,1,0,0,0,11,13,0.56,0.44,8,14,0,1,1,0,3,1,2.3,3.2,3.15,1.36,1.1,1.36,1.48,5,4,6,9
1145,18-19,Sep 22 2018,10,N/A,CASA Arena Horsens,2617,Randers,Vendsyssel,Won,Lost,3,0,2,0,0,0,13,12,0.46,0.54,17,8,0,0,2,1,8,4,1.71,3.7,4.7,1.43,1.21,1.66,1.24,7,4,6,8
1146,18-19,Sep 23 2018,10,N/A,Brøndby Stadion,5785,Sønderjyske,Midtjylland,Draw,Draw,1,1,0,0,0,0,5,12,0.54,0.46,14,13,0,1,3,2,2,10,3.7,3.6,1.95,1.33,1.13,0.81,1.5,2,4,3,8
1147,18-19,Sep 23 2018,10,N/A,MCH Arena,3426,Hobro,AaB,Lost,Won,0,3,0,5,0,2,6,18,0.61,0.39,5,13,0,0,0,1,2,9,3.4,3.25,2.15,1.13,0.92,0.76,2.17,3,7,3,11
1148,18-19,Sep 23 2018,10,Jens Maae,Aalborg Portland Park,22025,København,Nordsjælland,Won,Lost,3,0,2,1,1,0,11,5,0.37,0.63,10,17,0,0,0,2,8,0,1.51,4.35,5.85,1.58,1.12,1.52,0.6,4,2,7,3
1149,18-19,Sep 23 2018,10,Mads-Kristoffer Kristoffersen,Vejle Stadion,15418,AGF,Brøndby,Won,Lost,3,0,3,2,2,1,8,16,0.61,0.39,12,11,0,0,4,3,0,6,3.6,3.45,2,1.41,1.5,1.08,1.93,5,8,3,8
1150,18-19,Sep 24 2018,10,N/A,BioNutria Park Randers,4365,OB,Horsens,Won,Lost,3,0,4,0,1,0,11,11,0.6,0.4,10,8,0,0,2,0,3,6,1.69,3.75,4.9,1.41,1.02,1.31,1.36,5,4,6,7
1151,18-19,Sep 28 2018,11,Michael Tykgaard,Sydbank Park,3204,Vejle,Randers,Draw,Draw,1,1,1,1,1,1,5,9,0.51,0.49,10,11,0,0,2,1,5,7,2.55,3.1,2.85,1.36,1.2,0.75,1.3,2,5,3,4
1152,18-19,Sep 29 2018,11,N/A,HDS Arena,6092,Midtjylland,Hobro,Won,Lost,3,0,5,2,4,0,20,9,0.3,0.7,7,3,0,0,0,0,3,2,1.19,6.55,14.25,1.68,1.2,2.48,1.02,10,5,10,4
1153,18-19,Sep 30 2018,11,N/A,Telia Parken,2554,Vendsyssel,København,Won,Lost,3,0,2,1,0,1,14,15,0.64,0.36,13,7,0,0,0,2,5,6,8.25,4.95,1.36,1.29,1.52,1.51,1.84,6,7,8,8
1154,18-19,Sep 30 2018,11,Michael Johansen,Ceres Park,4867,Esbjerg,AGF,Draw,Draw,1,1,0,0,0,0,9,3,0.4,0.6,7,12,0,0,1,1,5,4,3.05,3.2,2.35,1.39,1.1,1.13,0.57,4,2,5,1
1155,18-19,Sep 30 2018,11,Peter Kjærsgaard-Andersen,Nature Energy Park,5739,AaB,OB,Lost,Won,0,3,0,1,0,1,7,10,0.38,0.62,13,11,0,0,2,0,2,3,2.55,3.3,2.7,1.4,1.87,0.81,1.04,0,3,7,7
1156,18-19,Sep 30 2018,11,Morten Krogh,Vejle Stadion,11626,Brøndby,Horsens,Lost,Won,0,3,1,2,1,0,8,8,0.4,0.6,10,13,1,0,2,3,8,2,1.4,4.7,7,1.85,1.09,1.19,1.06,3,4,5,4
1157,18-19,Oct 01 2018,11,N/A,MCH Arena,2207,Nordsjælland,Sønderjyske,Won,Lost,3,0,4,1,2,1,14,9,0.5,0.5,15,12,0,1,2,4,3,3,1.95,3.7,3.6,1.74,1.41,1.76,0.95,7,2,7,7
1158,18-19,Oct 05 2018,12,Sandi Putros,Nord Energi Arena,5312,Sønderjyske,Vejle,Won,Lost,3,0,3,0,0,0,12,4,0.38,0.62,11,11,0,1,1,1,9,1,2.05,3.35,3.5,1.2,1.34,1.67,0.67,6,3,6,1
1159,18-19,Oct 06 2018,12,Benjamin Willaume-Jantzen,Blue Water Arena,9530,OB,AGF,Draw,Draw,1,1,2,2,1,2,6,5,0.34,0.66,7,11,0,0,5,3,3,1,1.95,3.45,3.7,1.39,1,1.26,0.69,5,3,1,2
1160,18-19,Oct 07 2018,12,Michael Johansen,Aalborg Portland Park,1261,Hobro,Nordsjælland,Won,Lost,3,0,3,2,2,1,12,13,0.6,0.4,9,13,0,0,0,3,3,3,3.95,3.75,1.83,1.05,1.01,1.46,1.9,6,7,6,6
1161,18-19,Oct 07 2018,12,N/A,Brøndby Stadion,3622,Horsens,Esbjerg,Lost,Won,0,3,1,2,0,1,6,25,0.52,0.48,13,10,0,0,1,0,7,6,2.2,3.2,3.25,1.25,1.18,0.94,2.51,3,10,3,15
1162,18-19,Oct 07 2018,12,N/A,Right to Dream Park,14129,København,Randers,Won,Lost,3,0,4,0,1,0,20,15,0.36,0.64,13,15,0,0,0,2,6,4,1.38,4.45,7.25,1.57,1.22,2.28,1.47,10,4,10,11
1163,18-19,Oct 07 2018,12,N/A,Sydbank Park,8629,AaB,Brøndby,Lost,Won,0,3,1,3,0,1,17,13,0.43,0.57,7,8,0,0,0,1,8,1,2.9,3.4,2.3,1.28,1.59,2.21,1.73,8,8,9,5
1164,18-19,Oct 07 2018,12,Peter Kjærsgaard-Andersen,Nature Energy Park,5032,Midtjylland,Vendsyssel,Won,Lost,3,0,3,0,2,0,11,6,0.36,0.64,11,12,0,0,2,2,7,4,1.24,5.65,11,1.81,1.22,1.67,0.88,7,5,4,1
1165,18-19,Oct 19 2018,13,Jakob Kehlet,HDS Arena,4719,Esbjerg,Hobro,Won,Lost,3,0,2,0,0,0,10,7,0.44,0.56,17,7,0,0,1,1,4,2,1.95,3.45,3.95,1.34,1.17,1.41,0.92,6,3,4,4
1166,18-19,Oct 20 2018,13,N/A,CASA Arena Horsens,3574,Nordsjælland,Midtjylland,Lost,Won,0,3,1,4,0,1,12,15,0.49,0.51,9,15,0,0,2,3,2,3,3.25,3.65,2.1,1.74,1.21,1.32,1.86,5,8,7,7
1167,18-19,Oct 21 2018,13,N/A,Telia Parken,1618,Vendsyssel,Horsens,Lost,Won,0,3,0,1,0,1,10,9,0.39,0.61,16,16,0,0,0,4,9,1,2.65,3.15,2.65,1.33,1.08,1.2,1.11,2,4,8,5
1168,18-19,Oct 21 2018,13,Michael Johansen,Aalborg Portland Park,3523,Randers,Sønderjyske,Draw,Draw,1,1,1,1,1,0,4,4,0.45,0.55,15,15,0,0,3,4,4,5,2.35,3.2,3.1,1.47,1.32,0.72,0.7,2,2,2,2
1169,18-19,Oct 21 2018,13,Jens Maae,MCH Arena,9138,Vejle,København,Lost,Won,0,3,1,3,1,0,8,13,0.47,0.53,17,4,0,0,2,0,6,6,6.15,4.15,1.51,1.24,1.58,1.14,1.67,6,7,2,6
1170,18-19,Oct 21 2018,13,Mads-Kristoffer Kristoffersen,Blue Water Arena,9535,AGF,AaB,Draw,Draw,1,1,2,2,1,0,14,9,0.46,0.54,10,8,0,1,3,3,7,9,2.32,3.25,3.1,1.33,1.17,1.96,1.3,9,7,5,2
1171,18-19,Oct 22 2018,13,Michael Tykgaard,Right to Dream Park,12185,Brøndby,OB,Draw,Draw,1,1,1,1,0,0,9,9,0.41,0.59,6,8,0,0,1,4,10,6,1.8,3.9,4,1.74,1.73,1.27,1.16,3,5,6,4
1172,18-19,Oct 26 2018,14,N/A,Nord Energi Arena,4024,Sønderjyske,OB,Draw,Draw,1,1,0,0,0,0,7,9,0.58,0.42,11,14,0,0,2,4,5,3,2.9,3.35,2.5,1.29,1.65,1,1.05,3,2,4,7
1173,18-19,Oct 27 2018,14,N/A,BioNutria Park Randers,2441,Horsens,Nordsjælland,Draw,Draw,1,1,3,3,2,3,15,21,0.57,0.43,15,10,0,0,1,3,5,7,3.1,3.45,2.35,1.2,1.16,1.83,2.32,8,10,7,11
1174,18-19,Oct 28 2018,14,N/A,Vejle Stadion,1636,Hobro,Vejle,Won,Lost,3,0,1,0,1,0,2,19,0.63,0.37,10,15,0,0,0,3,2,6,2.85,3.25,2.6,1.12,1.22,0.46,2.19,2,4,0,15
1175,18-19,Oct 28 2018,14,Anders Poulsen,Ceres Park,2679,Randers,Esbjerg,Lost,Won,0,3,0,2,0,2,9,5,0.47,0.53,12,7,0,1,2,1,12,3,2.15,3.4,3.55,1.36,1.4,1.8,0.72,6,3,3,2
1176,18-19,Oct 28 2018,14,N/A,Brøndby Stadion,12856,København,AGF,Won,Lost,3,0,4,2,1,1,14,6,0.38,0.62,8,11,0,0,1,1,4,2,0,0,0,1.69,0.95,0,0,5,2,9,4
1177,18-19,Oct 28 2018,14,Jakob Kehlet,Sydbank Park,6071,AaB,Vendsyssel,Lost,Won,0,3,0,1,0,1,14,6,0.45,0.55,9,17,0,0,4,2,9,1,1.62,3.8,5.35,1.43,1.16,2,0.77,6,4,8,2
1178,18-19,Oct 29 2018,14,Mads-Kristoffer Kristoffersen,CASA Arena Horsens,10106,Midtjylland,Brøndby,Won,Lost,3,0,3,2,1,2,13,11,0.53,0.47,13,10,0,0,2,1,5,8,1.91,3.65,3.75,1.79,1.61,1.77,1.36,8,5,5,6
1179,18-19,Nov 02 2018,15,N/A,HDS Arena,4005,OB,Hobro,Won,Lost,3,0,1,0,1,0,23,9,0.43,0.57,7,12,0,0,2,1,6,2,1.47,4.4,7.25,1.37,1.14,2.37,0.97,8,2,15,7
1180,18-19,Nov 02 2018,15,Morten Krogh,BioNutria Park Randers,1304,Vendsyssel,Sønderjyske,Lost,Won,0,3,2,3,1,0,8,10,0.52,0.48,15,21,0,0,3,3,5,5,3.35,3.35,2.2,1.31,1.22,1.09,1.43,5,6,3,4
1181,18-19,Nov 04 2018,15,Michael Johansen,Telia Parken,20731,Brøndby,København,Lost,Won,0,3,0,1,0,0,8,9,0.49,0.51,14,10,0,0,3,0,1,3,2.85,3.6,2.4,1.67,1.59,1.19,1.34,5,6,3,3
1182,18-19,Nov 04 2018,15,Jørgen Daugbjerg Burchardt,Aalborg Portland Park,2634,Nordsjælland,AaB,Draw,Draw,1,1,1,1,0,1,13,11,0.53,0.47,20,11,1,0,4,4,4,3,2.05,3.65,3.6,1.68,1.19,1.86,1.3,10,4,3,7
1183,18-19,Nov 04 2018,15,N/A,MCH Arena,7370,AGF,Randers,Lost,Won,0,3,0,2,0,2,15,14,0.39,0.61,12,17,0,0,3,4,3,4,2.15,3.3,3.55,1.45,1.26,1.71,1.7,4,8,11,6
1184,18-19,Nov 04 2018,15,Benjamin Willaume-Jantzen,Nature Energy Park,7022,Esbjerg,Midtjylland,Draw,Draw,1,1,2,2,0,0,7,11,0.54,0.46,12,12,0,0,5,2,4,9,5.15,3.85,1.71,1.35,1.32,1.11,1.57,6,7,1,4
1185,18-19,Nov 05 2018,15,Jakob Kehlet,Nord Energi Arena,5584,Vejle,Horsens,Won,Lost,3,0,3,1,2,0,13,8,0.46,0.54,9,19,0,0,1,4,8,6,2.8,3,2.65,1.22,1.09,1.64,1.05,7,4,6,4
1186,18-19,Nov 09 2018,16,Anders Poulsen,Brøndby Stadion,12452,Brøndby,AGF,Won,Lost,3,0,2,0,0,0,14,4,0.41,0.59,12,8,0,1,2,3,7,3,1.53,4.35,5.55,1.61,0.95,1.96,0.51,7,0,7,4
1187,18-19,Nov 10 2018,16,Jørgen Daugbjerg Burchardt,Right to Dream Park,12452,Horsens,Sønderjyske,Draw,Draw,1,1,1,1,1,1,9,3,0.49,0.51,11,17,1,0,2,2,6,3,2.8,3.1,2.6,1.29,1.25,1.08,0.53,3,2,6,1
1188,18-19,Nov 11 2018,16,Mikkel Redder,Ceres Park,1707,Hobro,Vendsyssel,Won,Lost,3,0,1,0,0,0,4,9,0.5,0.5,16,8,0,0,3,2,4,3,2.2,3.35,3.2,1.03,1.11,0.85,1.22,3,3,1,6
1189,18-19,Nov 11 2018,16,Jens Maae,Blue Water Arena,2366,Randers,Nordsjælland,Draw,Draw,1,1,1,1,0,1,15,7,0.45,0.55,13,15,0,0,1,1,10,1,2.8,3.3,2.5,1.42,1.33,2.05,0.84,10,3,5,4
1190,18-19,Nov 11 2018,16,N/A,Vejle Stadion,6047,AaB,København,Draw,Draw,1,1,1,1,0,0,11,21,0.59,0.41,15,15,0,0,2,3,4,4,3.65,3.35,2.05,1.52,1.56,1.21,2.15,4,6,7,15
1191,18-19,Nov 11 2018,16,Sandi Putros,Brøndby Stadion,6855,Midtjylland,Vejle,Won,Lost,3,0,5,0,2,0,12,6,0.4,0.6,10,7,0,0,0,2,5,2,1.3,5.25,9.5,1.79,1.36,1.68,0.84,8,4,4,2
1192,18-19,Nov 11 2018,16,Mads-Kristoffer Kristoffersen,CASA Arena Horsens,4127,OB,Esbjerg,Won,Lost,3,0,2,1,1,1,9,7,0.39,0.61,12,13,0,0,2,2,8,4,1.67,3.6,5.3,1.51,1.3,1.5,0.88,7,4,2,3
1193,18-19,Nov 23 2018,17,Michael Johansen,HDS Arena,3736,Vejle,AaB,Draw,Draw,1,1,1,1,0,0,11,4,0.44,0.56,16,10,0,0,5,2,3,3,3.55,3.3,2.05,1.28,1.2,1.44,0.76,6,2,5,2
1194,18-19,Nov 24 2018,17,Morten Krogh,BioNutria Park Randers,1649,Hobro,Randers,Lost,Won,0,3,0,1,0,0,8,12,0.55,0.45,7,13,0,0,2,3,4,6,3.45,3.2,2.15,1.01,1.32,1.08,1.51,3,5,5,7
1195,18-19,Nov 25 2018,17,Jens Maae,Aalborg Portland Park,1101,Vendsyssel,Esbjerg,Draw,Draw,1,1,1,1,0,0,5,5,0.45,0.55,15,14,0,0,2,3,7,2,2.75,3.2,2.55,1.28,1.25,1.21,0.87,5,4,0,1
1196,18-19,Nov 25 2018,17,Benjamin Willaume-Jantzen,MCH Arena,2144,Nordsjælland,OB,Lost,Won,0,3,1,3,1,1,14,9,0.44,0.56,7,11,0,0,1,2,3,4,2.55,3.6,2.55,1.7,1.57,1.86,1.1,7,6,7,3
1197,18-19,Nov 25 2018,17,Anders Poulsen,Nature Energy Park,6235,Sønderjyske,Brøndby,Lost,Won,0,3,0,2,0,1,12,10,0.45,0.55,10,14,0,0,2,3,7,3,3.5,3.5,2.05,1.24,1.57,1.78,1.38,9,5,3,5
1198,18-19,Nov 25 2018,17,N/A,Vejle Stadion,18553,København,Midtjylland,Won,Lost,3,0,2,1,1,0,11,6,0.5,0.5,16,11,0,0,2,2,2,4,2.4,3.4,2.85,1.69,1.35,1.43,0.95,6,4,5,2
1199,18-19,Nov 26 2018,17,N/A,HDS Arena,4212,AGF,Horsens,Lost,Won,0,3,1,2,0,2,18,13,0.44,0.56,14,8,0,0,2,3,3,2,2.05,3.45,3.55,1.5,1.08,2.08,1.56,7,5,11,8
1200,18-19,Nov 30 2018,18,Mads-Kristoffer Kristoffersen,Nord Energi Arena,2862,Esbjerg,AaB,Lost,Won,0,3,1,4,0,2,9,17,0.53,0.47,19,10,0,0,4,1,5,3,3.3,3.3,2.2,1.32,1.15,1.28,2.17,4,11,5,6
1201,18-19,Dec 01 2018,18,Sandi Putros,Right to Dream Park,4346,OB,Vendsyssel,Won,Lost,3,0,2,0,1,0,8,4,0.43,0.57,9,13,0,0,2,1,11,6,1.48,4.1,7,1.51,1.12,1.33,0.74,6,2,2,2
1202,18-19,Dec 02 2018,18,Mikkel Redder,Sydbank Park,2673,Sønderjyske,Nordsjælland,Lost,Won,0,3,1,2,0,1,5,11,0.53,0.47,3,10,0,0,2,3,4,6,2.35,3.5,2.85,1.32,1.27,0.91,1.35,4,5,1,6
1203,18-19,Dec 02 2018,18,Jørgen Daugbjerg Burchardt,Telia Parken,2401,Randers,Midtjylland,Lost,Won,0,3,1,2,1,1,9,13,0.62,0.38,14,13,0,0,2,3,3,4,5.15,3.95,1.62,1.49,1.3,1.1,1.78,3,9,6,4
1204,18-19,Dec 02 2018,18,N/A,Ceres Park,3217,Horsens,København,Lost,Won,0,3,1,6,1,2,5,22,0.66,0.34,10,6,1,0,1,1,2,4,5.55,3.9,1.59,1.26,1.62,0.73,2.6,3,10,2,12
1205,18-19,Dec 02 2018,18,Jakob Kehlet,Blue Water Arena,8512,Brøndby,Hobro,Won,Lost,3,0,1,0,1,0,20,3,0.38,0.62,16,9,0,0,2,3,8,3,1.25,5.8,11.25,1.65,1.11,2.41,0.56,11,2,9,1
1206,18-19,Dec 03 2018,18,N/A,Nature Energy Park,4420,AGF,Vejle,Won,Lost,3,0,2,1,1,1,21,19,0.53,0.47,7,9,0,0,1,2,8,11,1.95,3.25,4.05,1.58,1.3,2.17,2.03,8,7,13,12
1207,18-19,Dec 07 2018,19,Jørgen Daugbjerg Burchardt,Sydbank Park,7034,Midtjylland,OB,Won,Lost,3,0,3,0,2,0,11,5,0.51,0.49,14,12,1,0,3,3,3,4,1.69,3.85,4.8,1.78,1.52,1.39,0.86,6,3,5,2
1208,18-19,Dec 08 2018,19,Benjamin Willaume-Jantzen,BioNutria Park Randers,1012,Hobro,Sønderjyske,Draw,Draw,1,1,0,0,0,0,11,9,0.47,0.53,11,12,0,0,4,3,8,8,3.2,3.2,2.25,1.01,1.16,1.59,1.28,5,6,6,3
1209,18-19,Dec 09 2018,19,Michael Tykgaard,CASA Arena Horsens,1053,Vendsyssel,Randers,Lost,Won,0,3,0,1,0,1,6,6,0.52,0.48,18,14,0,0,4,4,3,1,3.45,3.35,2.1,1.28,1.35,1.01,1.06,4,4,2,2
1210,18-19,Dec 09 2018,19,Sandi Putros,Brøndby Stadion,4666,AaB,Horsens,Lost,Won,0,3,2,4,2,2,11,6,0.55,0.45,12,7,1,0,5,3,9,12,1.61,3.9,5.3,1.48,1.14,1.58,1.17,9,5,2,1
1211,18-19,Dec 09 2018,19,Jens Maae,Ceres Park,11193,København,Esbjerg,Won,Lost,3,0,3,0,2,0,15,6,0.48,0.52,14,8,0,0,0,2,5,6,1.3,5.15,9.75,1.65,1.21,1.89,0.84,9,3,6,3
1212,18-19,Dec 09 2018,19,Peter Kjærsgaard-Andersen,MCH Arena,6994,Vejle,Brøndby,Lost,Won,0,3,1,2,1,0,5,13,0.47,0.53,9,13,1,0,3,4,2,4,4.85,3.85,1.69,1.3,1.55,0.81,1.57,3,6,2,7
1213,18-19,Dec 10 2018,19,N/A,HDS Arena,2044,Nordsjælland,AGF,Won,Lost,3,0,1,0,0,0,18,10,0.43,0.57,9,2,0,0,0,0,9,4,1.87,3.6,4.05,1.72,0.88,2.07,1.23,6,5,12,5
1214,18-19,Dec 14 2018,20,Michael Johansen,Nord Energi Arena,4404,OB,AaB,Lost,Won,0,3,1,2,1,0,11,10,0.4,0.6,8,10,0,0,1,5,4,6,1.8,3.7,4.3,1.49,1.26,1.63,1.27,6,6,5,4
1215,18-19,Dec 15 2018,20,N/A,Aalborg Portland Park,2725,Randers,Vejle,Won,Lost,3,0,2,0,0,0,14,8,0.45,0.55,7,9,0,0,1,3,7,1,1.8,3.6,4.3,1.45,1.38,1.6,1.03,5,4,9,4
1216,18-19,Dec 16 2018,20,Jørgen Daugbjerg Burchardt,Telia Parken,2654,Esbjerg,Nordsjælland,Won,Lost,3,0,3,0,2,0,9,7,0.51,0.49,10,12,0,0,1,3,4,7,3.3,3.4,2.15,1.32,1.28,1.35,1.14,6,3,3,4
1217,18-19,Dec 16 2018,20,Michael Tykgaard,Vejle Stadion,2741,Horsens,Midtjylland,Lost,Won,0,3,1,3,1,1,9,12,0.49,0.51,8,7,0,0,1,3,7,5,6.25,4.5,1.47,1.2,1.35,1.36,1.6,5,8,4,4
1218,18-19,Dec 16 2018,20,Mads-Kristoffer Kristoffersen,Right to Dream Park,5142,Sønderjyske,København,Lost,Won,0,3,0,3,0,2,9,10,0.47,0.53,10,12,0,0,1,1,8,3,5.2,4.1,1.61,1.27,1.72,1.16,1.31,3,6,6,4
1219,18-19,Dec 16 2018,20,Peter Kjærsgaard-Andersen,Nature Energy Park,11781,Brøndby,Vendsyssel,Lost,Won,0,3,2,3,1,0,14,8,0.3,0.7,11,5,0,0,1,1,10,2,1.29,5.55,9.5,1.72,1.08,1.97,1.23,7,7,7,1
1220,18-19,Dec 17 2018,20,Anders Poulsen,BioNutria Park Randers,3495,AGF,Hobro,Won,Lost,3,0,1,0,0,0,12,5,0.51,0.49,12,10,0,0,2,2,5,6,1.8,3.45,4.7,1.65,1.05,1.7,0.73,7,0,5,5
1221,18-19,Feb 08 2019,21,Michael Tykgaard,Blue Water Arena,5579,AGF,Esbjerg,Won,Lost,3,0,2,0,1,0,11,2,0.52,0.48,8,9,0,0,1,2,4,5,2.15,3.25,3.45,1.66,1.17,1.68,0.77,10,2,1,0
1222,18-19,Feb 09 2019,21,Benjamin Willaume-Jantzen,CASA Arena Horsens,3109,Vejle,Sønderjyske,Won,Lost,3,0,2,0,2,0,6,8,0.48,0.52,15,13,0,0,3,2,3,9,2.85,3.15,2.55,1.25,1.17,0.91,1.28,4,4,2,4
1223,18-19,Feb 10 2019,21,N/A,Sydbank Park,1430,Hobro,Horsens,Draw,Draw,1,1,0,0,0,0,8,13,0.47,0.53,12,23,0,0,2,2,3,4,2.6,3.2,2.7,1.07,1.14,1.02,1.43,3,4,5,9
1224,18-19,Feb 10 2019,21,Jørgen Daugbjerg Burchardt,Brøndby Stadion,4724,AaB,Randers,Lost,Won,0,3,0,3,0,0,5,14,0.6,0.4,12,14,0,0,1,1,4,7,2.15,3.2,3.5,1.49,1.32,0.76,2.08,2,10,3,4
1225,18-19,Feb 10 2019,21,Sandi Putros,Ceres Park,6658,Nordsjælland,Brøndby,Draw,Draw,1,1,3,3,1,1,16,11,0.45,0.55,8,7,0,0,1,1,9,6,2.75,3.4,2.45,1.76,1.55,1.93,1.57,8,6,8,5
1226,18-19,Feb 10 2019,21,Mads-Kristoffer Kristoffersen,Ceres Park,15164,København,OB,Won,Lost,3,0,6,1,3,0,10,7,0.33,0.67,7,11,0,0,2,3,3,3,1.74,3.6,4.7,1.68,1.46,1.6,0.96,9,5,1,2
1227,18-19,Feb 11 2019,21,Jens Maae,Vejle Stadion,1453,Vendsyssel,Midtjylland,Lost,Won,0,3,0,1,0,1,2,7,0.52,0.48,12,15,0,0,1,1,2,3,6.6,4.7,1.43,1.25,1.38,0.46,0.99,0,3,2,4
1228,18-19,Feb 15 2019,22,Mikkel Redder,HDS Arena,5275,Sønderjyske,AGF,Lost,Won,0,3,0,2,0,1,7,9,0.41,0.59,8,14,0,0,2,2,5,4,2.65,3.15,2.7,1.26,0.93,1.31,1.27,4,6,3,3
1229,18-19,Feb 16 2019,22,Michael Johansen,Aalborg Portland Park,1724,Nordsjælland,Hobro,Won,Lost,3,0,2,1,1,0,20,9,0.36,0.64,10,10,0,0,0,2,7,5,1.51,4.3,5.85,1.77,1.02,2.37,1.35,8,5,12,4
1230,18-19,Feb 17 2019,22,Mads-Kristoffer Kristoffersen,Right to Dream Park,2511,Horsens,Vendsyssel,Won,Lost,3,0,3,0,0,0,15,2,0.27,0.73,8,11,0,1,2,2,7,1,2.2,3.2,3.4,1.22,1.09,2.21,0.27,9,0,6,2
1231,18-19,Feb 17 2019,22,Peter Munch Larsen,Telia Parken,5907,OB,Vejle,Won,Lost,3,0,1,0,1,0,14,6,0.5,0.5,12,6,0,0,3,1,9,5,1.74,3.55,4.8,1.51,1.34,1.86,0.87,8,2,6,4
1232,18-19,Feb 17 2019,22,Jens Maae,Nord Energi Arena,5411,Randers,København,Lost,Won,0,3,0,2,0,1,6,11,0.64,0.36,12,8,1,0,0,1,3,3,4.25,3.4,1.87,1.46,1.68,0.72,1.59,0,8,6,3
1233,18-19,Feb 17 2019,22,Anders Poulsen,Sydbank Park,7016,Esbjerg,Brøndby,Won,Lost,3,0,2,1,1,0,8,10,0.61,0.39,16,11,0,0,1,0,2,5,3.7,3.55,1.95,1.32,1.55,1.17,1.71,5,8,3,2
1234,18-19,Feb 18 2019,22,Jakob Kehlet,Right to Dream Park,7442,Midtjylland,AaB,Won,Lost,3,0,2,1,1,0,17,9,0.33,0.67,12,12,0,0,2,1,6,3,1.36,5,7.75,1.74,1.26,2.23,1.12,9,5,8,4
1235,18-19,Feb 22 2019,23,Sandi Putros,CASA Arena Horsens,7678,AaB,Sønderjyske,Won,Lost,3,0,3,0,2,0,10,14,0.51,0.49,11,15,0,0,1,6,5,7,1.95,3.45,3.8,1.42,1.18,1.29,1.65,5,7,5,7
1236,18-19,Feb 23 2019,23,N/A,Nature Energy Park,3045,Vejle,Nordsjælland,Lost,Won,0,3,1,3,0,1,18,10,0.43,0.57,10,11,0,0,2,1,5,3,3.4,3.55,2.05,1.21,1.26,2.08,1.3,7,5,11,5
1237,18-19,Feb 24 2019,23,Benjamin Willaume-Jantzen,Cepheus Park Randers (Randers),2045,Hobro,Esbjerg,Won,Lost,3,0,2,0,1,0,6,7,0.59,0.41,21,8,0,0,0,1,4,3,2.7,3.1,2.65,1.07,1.13,1.1,1.02,4,3,2,4
1238,18-19,Feb 24 2019,23,N/A,Blue Water Arena,N/A,Horsens,OB,Lost,Won,0,3,1,2,1,1,7,18,0.57,0.43,11,15,1,0,2,1,3,5,3.65,3.5,2,1.31,1.41,0.98,2.24,3,9,4,9
1239,18-19,Feb 24 2019,23,Jørgen Daugbjerg Burchardt,MCH Arena,11787,AGF,Midtjylland,Lost,Won,0,3,1,2,1,1,10,11,0.52,0.48,11,12,1,2,3,3,7,8,4.5,3.55,1.77,1.66,1.34,1.37,1.59,6,7,4,4
1240,18-19,Feb 24 2019,23,Jakob Kehlet,Aalborg Portland Park,12472,Brøndby,Randers,Won,Lost,3,0,2,1,1,0,12,5,0.45,0.55,12,10,0,1,3,1,5,4,1.91,3.75,3.75,1.75,1.39,1.55,0.9,7,3,5,2
1241,18-19,Feb 25 2019,23,Michael Johansen,Vejle Stadion,11116,København,Vendsyssel,Draw,Draw,1,1,1,1,0,1,22,6,0.29,0.71,7,20,0,1,2,3,13,3,1.18,6.85,15,1.67,1.02,2.9,0.78,12,4,10,2
1242,18-19,Mar 01 2019,24,Jens Maae,HDS Arena,6346,AaB,Hobro,Draw,Draw,1,1,1,1,0,1,24,6,0.34,0.66,9,15,0,0,1,3,14,2,1.67,3.6,5.45,1.4,1.05,2.71,0.85,7,4,17,2
