index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
561,15-16,May 08 2016,28,,Sydbank Park,4655,Viborg,AaB,Lost,Won,0,3,0,2,0,1,17,7,0.49,0.51,13,4,0,0,2,0,8,3,3.08,3.42,2.45,0,0,0,0,7,3,10,4,"[55.2613291, 9.487707200000001]"
562,15-16,May 08 2016,28,,BioNutria Park Randers,9911,OB,København,Lost,Won,0,3,0,1,0,1,6,8,0.56,0.44,9,15,0,0,1,1,3,4,"22,986,111","18,333,333","9,583,333",0,0,0,0,4,0,2,8,"[56.46607165, 10.010154126188361]"
563,15-16,May 08 2016,28,,Energi Viborg Arena,8002,Midtjylland,AGF,Draw,Draw,1,1,1,1,0,1,11,7,0.44,0.56,11,16,0,0,2,3,2,1,1.06,4.13,6.41,0,0,0,0,8,2,3,5,"[56.455903899999996, 9.402020349999999]"
564,15-16,May 09 2016,28,,EWII Park (Odense),8951,Brøndby,Nordsjælland,Won,Lost,3,0,2,1,1,0,10,7,0.46,0.54,10,16,0,0,2,0,8,3,"10,208,333","17,152,778",4.59,0,0,0,0,3,3,7,4,"[55.397745, 10.35022492586062]"
565,15-16,May 11 2016,29,,MCH Arena,6345,Sønderjyske,Viborg,Won,Lost,3,0,2,0,1,0,10,9,0.51,0.49,14,8,0,0,1,1,3,6,2.15,3.49,"16,944,444",0,0,0,0,5,2,5,7,"[56.1169164, 8.951716477487706]"
566,15-16,May 11 2016,29,,Brøndby Stadion,1411,Hobro,Midtjylland,Lost,Won,0,3,1,4,1,0,8,12,"4,305,556",0.38,18,8,0,0,2,1,6,8,6.02,4.48,1.56,0,0,0,0,4,5,4,7,"[55.6480283, 12.4154952]"
567,15-16,May 11 2016,29,,Sydbank Park,5032,AGF,Esbjerg,Won,Lost,3,0,5,1,1,0,8,7,0.56,0.44,9,9,0,0,2,2,4,8,2.17,3.48,3.06,0,0,0,0,6,3,2,4,"[55.2613291, 9.487707200000001]"
568,15-16,May 12 2016,29,,HDS Arena,2526,Nordsjælland,OB,Lost,Won,0,3,0,1,0,1,12,12,0.52,0.48,15,14,1,0,2,1,1,5,2.58,3.42,2.09,0,0,0,0,6,6,6,6,"[55.7211638, 12.368686299226304]"
569,15-16,May 12 2016,29,,Ceres Park,5671,Randers,Brøndby,Lost,Won,0,3,0,2,0,1,20,9,0.39,"4,236,111",7,11,0,0,0,0,10,2,2.05,3.33,3.08,0,0,0,0,10,3,10,6,"[56.1327356, 10.196762]"
570,15-16,May 12 2016,29,,Right to Dream Park,10036,AaB,København,Lost,Won,0,3,0,2,0,1,6,11,0.51,0.49,6,15,0,0,3,2,4,5,3.03,3.42,2.33,0,0,0,0,2,3,4,8,"[55.81619865, 12.353032590985052]"
571,15-16,May 14 2016,30,,BioNutria Park Randers,7017,Midtjylland,Sønderjyske,Won,Lost,3,0,3,2,1,1,10,8,0.52,0.48,17,18,0,0,2,2,4,4,"10,625","16,805,556",4.35,0,0,0,0,5,4,5,4,"[56.46607165, 10.010154126188361]"
572,15-16,May 15 2016,30,,Aalborg Portland Park,5776,OB,Hobro,Lost,Won,0,3,0,1,0,1,12,8,0.04,0.06,5,17,0,0,0,3,7,7,1.35,5.25,"44,375",0,0,0,0,6,4,6,4,"[57.05203525, 9.898599342025985]"
573,15-16,May 16 2016,30,,MCH Arena,4304,Viborg,Randers,Lost,Won,0,3,2,3,1,0,9,14,0.51,0.49,9,10,0,0,2,1,3,5,3.13,3.34,2.46,0,0,0,0,3,6,6,8,"[56.1169164, 8.951716477487706]"
574,15-16,May 16 2016,30,,EWII Park (Odense),23063,København,Nordsjælland,Won,Lost,3,0,2,0,0,0,15,7,0.43,0.57,14,6,0,0,3,1,10,4,1.36,5.15,"44,375",0,0,0,0,9,5,6,2,"[55.397745, 10.35022492586062]"
575,15-16,May 16 2016,30,,Energi Viborg Arena,8097,Esbjerg,Brøndby,Lost,Won,0,3,2,3,2,0,5,15,"4,444,444",0.36,10,5,0,0,2,1,3,12,"17,152,778",3.05,2.14,0,0,0,0,3,7,2,8,"[56.455903899999996, 9.402020349999999]"
576,15-16,May 17 2016,30,,Telia Parken,5551,AGF,AaB,Won,Lost,3,0,2,0,0,0,10,12,"4,444,444",0.36,16,11,0,0,3,2,3,6,3.24,3.52,2.31,0,0,0,0,7,6,3,6,"[55.70270425, 12.572263776860414]"
577,15-16,May 20 2016,31,,Blue Water Arena,7242,Sønderjyske,OB,Won,Lost,3,0,3,1,2,1,10,10,0.54,0.46,9,11,0,0,1,6,4,7,"9,375","19,027,778",5,0,0,0,0,4,4,6,6,"[55.48194305, 8.438397123328269]"
578,15-16,May 21 2016,31,,Ceres Park,3012,Nordsjælland,AGF,Draw,Draw,1,1,3,3,1,0,2,15,0.56,0.44,8,9,0,0,1,1,7,5,"14,305,556",3.47,2.58,0,0,0,0,0,7,2,8,"[56.1327356, 10.196762]"
579,15-16,May 22 2016,31,,Sydbank Park,4819,Randers,Midtjylland,Lost,Won,0,3,1,2,0,0,16,6,0.54,0.46,11,13,1,0,0,2,9,5,"13,680,556",3.05,"12,777,778",0,0,0,0,7,5,9,1,"[55.2613291, 9.487707200000001]"
580,15-16,May 22 2016,31,,Right to Dream Park,3144,Hobro,København,Won,Lost,3,0,4,2,2,0,8,6,"4,513,889",0.35,18,8,0,0,1,2,3,4,8.03,4.59,1.47,0,0,0,0,7,2,1,4,"[55.81619865, 12.353032590985052]"
581,15-16,May 22 2016,31,,BioNutria Park Randers,6598,AaB,Esbjerg,Lost,Won,0,3,1,2,0,1,10,7,0.35,"4,513,889",8,7,1,1,4,2,2,1,1.48,"21,458,333",7.42,0,0,0,0,4,3,6,4,"[56.46607165, 10.010154126188361]"
582,15-16,May 23 2016,31,,HDS Arena,10116,Brøndby,Viborg,Lost,Won,0,3,0,1,0,1,9,7,0.45,0.55,14,10,1,0,4,2,2,4,1.55,4.33,"30,486,111",0,0,0,0,5,3,4,4,"[55.7211638, 12.368686299226304]"
583,15-16,May 26 2016,32,,Aalborg Portland Park,6308,AGF,OB,Won,Lost,3,0,2,1,1,0,8,10,0.55,0.45,18,7,0,0,1,1,2,6,0,0,0,0,0,0,0,4,6,4,4,"[57.05203525, 9.898599342025985]"
584,15-16,May 26 2016,32,,Brøndby Stadion,1754,Nordsjælland,Viborg,Won,Lost,3,0,1,0,1,0,7,13,0.49,0.51,13,9,0,0,1,0,2,6,2.13,"17,291,667",3.52,0,0,0,0,5,4,2,9,"[55.6480283, 12.4154952]"
585,15-16,May 26 2016,32,,Ceres Park,7403,AaB,Midtjylland,Draw,Draw,1,1,0,0,0,0,11,11,0.56,0.44,8,17,0,0,2,4,5,5,"14,930,556",3.56,2.47,0,0,0,0,4,5,7,6,"[56.1327356, 10.196762]"
586,15-16,May 26 2016,32,,Right to Dream Park,3231,Hobro,Brøndby,Lost,Won,0,3,0,2,0,1,12,10,0.47,0.53,12,12,1,0,1,2,5,6,6.37,4.53,1.55,0,0,0,0,7,2,5,8,"[55.81619865, 12.353032590985052]"
587,15-16,May 26 2016,32,,Aalborg Portland Park,8125,Sønderjyske,Randers,Draw,Draw,1,1,1,1,1,0,13,7,0.53,0.47,4,12,0,0,0,2,8,6,1.09,3.08,4.27,0,0,0,0,6,2,7,5,"[57.05203525, 9.898599342025985]"
588,15-16,May 26 2016,32,,HDS Arena,6089,Esbjerg,København,Lost,Won,0,3,1,4,1,0,8,4,0.58,0.42,9,11,0,0,1,1,6,9,"21,319,444","19,375","9,652,778",0,0,0,0,3,2,5,2,"[55.7211638, 12.368686299226304]"
589,15-16,May 29 2016,33,,Sydbank Park,8541,Randers,Esbjerg,Won,Lost,3,0,3,1,3,1,12,10,0.49,0.51,7,8,0,0,0,1,3,1,1.06,4.33,"27,430,556",0,0,0,0,6,4,6,6,"[55.2613291, 9.487707200000001]"
590,15-16,May 29 2016,33,,Blue Water Arena,18958,Brøndby,Sønderjyske,Lost,Won,0,3,1,2,1,0,8,4,0.52,0.48,9,6,0,0,2,3,5,2,2.42,3.19,3.35,0,0,0,0,2,2,6,2,"[55.48194305, 8.438397123328269]"
591,15-16,May 29 2016,33,,BioNutria Park Randers,6056,OB,AaB,Won,Lost,3,0,3,2,0,2,11,8,0.48,0.52,11,9,0,0,2,0,5,4,"13,333,333","16,736,111","12,708,333",0,0,0,0,4,5,7,3,"[56.46607165, 10.010154126188361]"
592,15-16,May 29 2016,33,,Brøndby Stadion,4154,Viborg,Hobro,Won,Lost,3,0,1,0,0,0,14,10,0.48,0.52,9,16,0,0,1,0,11,3,1.58,4.34,6.12,0,0,0,0,3,3,11,7,"[55.6480283, 12.4154952]"
593,15-16,May 29 2016,33,,EWII Park (Odense),9514,Midtjylland,Nordsjælland,Won,Lost,3,0,4,1,2,0,12,8,0.53,0.47,10,13,0,0,0,1,8,3,1.41,5.01,8.05,0,0,0,0,6,4,6,4,"[55.397745, 10.35022492586062]"
594,15-16,May 29 2016,33,,Energi Viborg Arena,27466,København,AGF,Won,Lost,3,0,2,1,0,0,14,12,0.47,0.53,11,7,0,0,0,5,4,5,0,0,0,0,0,0,0,4,3,10,9,"[56.455903899999996, 9.402020349999999]"
595,16-17,Jul 15 2016,1,,MCH Arena,2580,Viborg,Nordsjælland,Lost,Won,0,3,0,4,0,2,8,7,0.58,0.42,9,12,0,0,2,2,1,3,2.38,3.35,3.26,0,0,0,0,4,2,4,5,"[56.1169164, 8.951716477487706]"
596,16-17,Jul 15 2016,1,,Telia Parken,10778,OB,Silkeborg,Draw,Draw,1,1,0,0,0,0,17,6,0.36,"4,444,444",10,8,0,0,1,1,11,2,"10,625","16,736,111",4.37,0,0,0,0,6,3,11,3,"[55.70270425, 12.572263776860414]"
597,16-17,Jul 16 2016,1,,No value,9953,København,Lyngby,Won,Lost,3,0,3,0,1,0,17,8,0.37,"4,375",7,17,0,0,2,2,5,5,1.48,4.55,"34,305,556",0,0,0,0,7,3,10,5,"[None, None]"
598,16-17,Jul 17 2016,1,,Energi Viborg Arena,5474,Sønderjyske,AGF,Lost,Won,0,3,1,2,0,1,9,7,0.54,0.46,16,15,0,0,1,3,6,2,0,0,0,0,0,0,0,5,3,4,4,"[56.455903899999996, 9.402020349999999]"
599,16-17,Jul 17 2016,1,,EWII Park (Odense),6493,AaB,Horsens,Draw,Draw,1,1,1,1,0,0,12,7,0.36,"4,444,444",10,16,0,0,1,1,5,2,"9,861,111","17,638,889",4.08,0,0,0,0,7,5,5,2,"[55.397745, 10.35022492586062]"
600,16-17,Jul 17 2016,1,,Telia Parken,10397,Brøndby,Esbjerg,Won,Lost,3,0,4,0,2,0,11,7,0.48,0.52,12,6,0,0,0,1,6,5,"9,930,556","17,569,444","21,666,667",0,0,0,0,8,0,3,7,"[55.70270425, 12.572263776860414]"
601,16-17,Jul 18 2016,1,,Sydbank Park,5725,Midtjylland,Randers,Draw,Draw,1,1,2,2,1,1,11,3,0.45,0.55,17,16,0,0,3,2,3,0,"11,041,667",3.55,4.15,0,0,0,0,6,0,5,3,"[55.2613291, 9.487707200000001]"
602,16-17,Jul 22 2016,2,,Aalborg Portland Park,8156,AGF,Viborg,Won,Lost,3,0,2,1,2,1,5,6,0.49,0.51,12,12,0,0,2,1,1,5,2.06,3.49,"19,097,222",0,0,0,0,2,4,3,2,"[57.05203525, 9.898599342025985]"
603,16-17,Jul 23 2016,2,,Brøndby Stadion,5439,Esbjerg,København,Lost,Won,0,3,0,4,0,1,5,19,"4,513,889",0.35,12,3,0,0,2,0,3,9,"26,944,444",4.04,"8,680,556",0,0,0,0,4,9,1,10,"[55.6480283, 12.4154952]"
604,16-17,Jul 24 2016,2,,MCH Arena,2653,Horsens,Sønderjyske,Draw,Draw,1,1,1,1,1,1,5,12,"4,513,889",0.35,14,8,0,0,2,3,0,8,3.04,3.43,2.47,0,0,0,0,3,3,2,9,"[56.1169164, 8.951716477487706]"
605,16-17,Jul 24 2016,2,,Ceres Park,2006,Lyngby,OB,Draw,Draw,1,1,2,2,1,2,10,10,0.47,0.53,12,11,0,1,2,3,5,4,"15,138,889",3.43,2.51,0,0,0,0,4,6,6,4,"[56.1327356, 10.196762]"
606,16-17,Jul 24 2016,2,,Blue Water Arena,4902,Silkeborg,Brøndby,Lost,Won,0,3,0,2,0,1,8,17,"4,236,111",0.39,10,12,0,0,1,1,3,10,3.07,3.59,2.01,0,0,0,0,6,6,2,11,"[55.48194305, 8.438397123328269]"
607,16-17,Jul 24 2016,2,,CASA Arena Horsens,2619,Nordsjælland,Midtjylland,Lost,Won,0,3,0,4,0,0,5,16,0.05,0.05,8,11,0,0,3,2,2,8,"15,138,889",3.49,2.48,0,0,0,0,3,5,2,11,"[55.87177805, 9.8575207272862]"
608,16-17,Jul 24 2016,2,,Lyngby Stadion,4443,Randers,AaB,Lost,Won,0,3,0,1,0,1,11,7,0.41,0.59,7,15,0,0,0,2,8,7,2.36,3.44,3.22,0,0,0,0,4,4,7,3,"[55.7813228, 12.505714505112913]"
609,16-17,Jul 29 2016,3,,MASCOT PARK (Silkeborg),2929,Viborg,Esbjerg,Won,Lost,3,0,2,1,0,0,8,9,0.04,0.06,9,9,0,0,0,1,4,6,2.12,3.51,"17,430,556",0,0,0,0,3,4,5,5,"[56.184187, 9.5751522579733]"
610,16-17,Jul 30 2016,3,,Right to Dream Park,9823,København,Nordsjælland,Won,Lost,3,0,4,0,2,0,15,4,0.44,0.56,8,14,0,0,1,1,6,1,1.41,"22,777,778",9.05,0,0,0,0,6,2,9,2,"[55.81619865, 12.353032590985052]"
611,16-17,Jul 31 2016,3,,BioNutria Park Randers,4494,Sønderjyske,Lyngby,Lost,Won,0,3,0,1,0,0,13,8,0.49,0.51,16,10,0,0,2,1,6,2,"10,069,444","17,638,889","20,972,222",0,0,0,0,8,2,5,6,"[56.46607165, 10.010154126188361]"
612,16-17,Jul 31 2016,3,,Energi Viborg Arena,7625,Midtjylland,Silkeborg,Won,Lost,3,0,3,0,1,0,8,11,0.05,0.05,12,12,0,0,1,4,4,5,1.47,4.58,8.05,0,0,0,0,4,4,4,7,"[56.455903899999996, 9.402020349999999]"
613,16-17,Jul 31 2016,3,,Telia Parken,12136,Brøndby,Horsens,Draw,Draw,1,1,2,2,1,0,19,5,0.32,"4,722,222",10,14,0,0,0,1,11,3,1.06,4.18,6.22,0,0,0,0,6,2,13,3,"[55.70270425, 12.572263776860414]"
614,16-17,Jul 31 2016,3,,Sydbank Park,13047,AGF,Randers,Lost,Won,0,3,1,2,1,2,8,8,0.42,0.58,18,16,0,0,4,4,6,3,2.05,3.39,3.03,0,0,0,0,4,4,4,4,"[55.2613291, 9.487707200000001]"
615,16-17,Aug 01 2016,3,,MCH Arena,7227,AaB,OB,Draw,Draw,1,1,2,2,2,1,6,8,0.05,0.05,10,11,0,0,1,1,2,2,2.07,3.06,"17,986,111",0,0,0,0,3,5,3,3,"[56.1169164, 8.951716477487706]"
616,16-17,Aug 05 2016,4,,Brøndby Stadion,4326,Randers,Horsens,Won,Lost,3,0,1,0,1,0,10,12,0.49,0.51,13,14,1,1,4,2,3,5,"8,819,444","18,888,889","26,944,444",0,0,0,0,6,4,4,8,"[55.6480283, 12.4154952]"
617,16-17,Aug 05 2016,4,,Ceres Park,2220,Silkeborg,Lyngby,Lost,Won,0,3,0,4,0,2,10,9,0.58,0.42,13,8,0,0,1,0,1,9,"13,125",3.46,"13,472,222",0,0,0,0,5,3,5,6,"[56.1327356, 10.196762]"
618,16-17,Aug 06 2016,4,,Aalborg Portland Park,4488,OB,Viborg,Draw,Draw,1,1,0,0,0,0,8,6,0.43,0.57,18,13,0,0,2,1,4,4,2.12,3.54,"17,291,667",0,0,0,0,4,3,4,3,"[57.05203525, 9.898599342025985]"
619,16-17,Aug 07 2016,4,,BioNutria Park Randers,2234,Nordsjælland,AaB,Lost,Won,0,3,1,2,1,0,7,10,"4,236,111",0.39,16,6,0,0,2,0,1,11,"14,652,778",3.59,2.48,0,0,0,0,4,4,3,6,"[56.46607165, 10.010154126188361]"
620,16-17,Aug 07 2016,4,,MASCOT PARK (Silkeborg),6054,Sønderjyske,København,Draw,Draw,1,1,1,1,0,1,12,15,0.56,0.44,13,13,0,0,3,3,5,4,5.09,4.16,"8,541,667",0,0,0,0,5,7,7,8,"[56.184187, 9.5751522579733]"
621,16-17,Aug 07 2016,4,,EWII Park (Odense),8889,Midtjylland,Brøndby,Draw,Draw,1,1,3,3,0,1,6,10,0.46,0.54,8,17,0,0,0,3,8,2,2,"17,291,667","18,958,333",0,0,0,0,4,6,2,4,"[55.397745, 10.35022492586062]"
622,16-17,Aug 08 2016,4,,Right to Dream Park,4605,Esbjerg,AGF,Draw,Draw,1,1,2,2,2,1,8,16,0.51,0.49,11,17,1,0,2,4,2,14,"15,069,444",3.48,2.49,0,0,0,0,4,7,4,9,"[55.81619865, 12.353032590985052]"
623,16-17,Aug 12 2016,5,,Sydbank Park,4065,Viborg,Randers,Lost,Won,0,3,0,1,0,0,11,12,0.57,0.43,12,16,0,0,2,1,5,7,"14,791,667",3.36,2.59,0,0,0,0,5,5,6,7,"[55.2613291, 9.487707200000001]"
624,16-17,Aug 12 2016,5,,MCH Arena,2463,Lyngby,AGF,Draw,Draw,1,1,0,0,0,0,8,6,0.46,0.54,10,15,0,0,1,4,2,3,"14,305,556",3.49,2.57,0,0,0,0,2,3,6,3,"[56.1169164, 8.951716477487706]"
625,16-17,Aug 13 2016,5,,Blue Water Arena,2025,Horsens,Silkeborg,Draw,Draw,1,1,3,3,1,0,10,11,0.56,0.44,15,9,0,0,0,1,5,0,2.01,3.52,"17,916,667",0,0,0,0,2,5,8,6,"[55.48194305, 8.438397123328269]"
626,16-17,Aug 13 2016,5,,Energi Viborg Arena,12074,København,Midtjylland,Won,Lost,3,0,3,1,0,1,16,7,0.36,"4,444,444",8,12,0,0,1,2,6,3,"8,541,667",4.18,"26,041,667",0,0,0,0,4,3,12,4,"[56.455903899999996, 9.402020349999999]"
627,16-17,Aug 14 2016,5,,Lyngby Stadion,4634,OB,Nordsjælland,Won,Lost,3,0,3,1,0,0,9,10,0.47,0.53,13,11,0,0,1,1,2,8,"9,236,111",4.06,"23,472,222",0,0,0,0,3,3,6,7,"[55.7813228, 12.505714505112913]"
628,16-17,Aug 14 2016,5,,CASA Arena Horsens,9442,Brøndby,Sønderjyske,Won,Lost,3,0,4,0,2,0,11,3,0.36,"4,444,444",15,5,0,0,0,1,5,3,"9,930,556",3.07,"22,361,111",0,0,0,0,5,0,6,3,"[55.87177805, 9.8575207272862]"
629,16-17,Aug 15 2016,5,,Telia Parken,6114,AaB,Esbjerg,Won,Lost,3,0,2,1,2,1,10,8,0.45,0.55,8,13,0,0,1,2,8,1,1.55,4.38,6.54,0,0,0,0,2,4,8,4,"[55.70270425, 12.572263776860414]"
630,16-17,Aug 19 2016,6,,EWII Park (Odense),1903,Nordsjælland,Randers,Draw,Draw,1,1,1,1,0,1,9,8,0.39,"4,236,111",9,11,0,0,1,1,7,3,"17,986,111",3.56,2.08,0,0,0,0,4,5,5,3,"[55.397745, 10.35022492586062]"
631,16-17,Aug 19 2016,6,,Brøndby Stadion,1663,Horsens,Lyngby,Won,Lost,3,0,2,1,1,1,13,16,"4,513,889",0.35,14,7,0,0,1,1,9,8,"15,138,889",3.49,2.48,0,0,0,0,9,6,4,10,"[55.6480283, 12.4154952]"
632,16-17,Aug 20 2016,6,,Aalborg Portland Park,11818,København,AaB,Draw,Draw,1,1,1,1,1,1,13,4,0.51,0.49,12,12,0,0,0,3,4,5,1.51,4.47,7.11,0,0,0,0,4,0,9,4,"[57.05203525, 9.898599342025985]"
633,16-17,Aug 21 2016,6,,Right to Dream Park,2660,Silkeborg,Viborg,Lost,Won,0,3,1,5,0,2,14,18,0.46,0.54,15,12,0,0,1,0,4,9,"14,444,444",3.46,2.57,0,0,0,0,6,9,8,9,"[55.81619865, 12.353032590985052]"
634,16-17,Aug 21 2016,6,,CASA Arena Horsens,13658,AGF,Brøndby,Lost,Won,0,3,0,7,0,4,5,8,"4,236,111",0.39,5,13,1,0,1,2,4,6,3.05,3.59,2.39,0,0,0,0,2,4,3,4,"[55.87177805, 9.8575207272862]"
635,16-17,Aug 21 2016,6,,Telia Parken,4690,Midtjylland,Sønderjyske,Draw,Draw,1,1,2,2,1,1,14,7,0.44,0.56,10,9,0,0,1,4,8,8,"8,611,111",4.22,5.59,0,0,0,0,7,2,7,5,"[55.70270425, 12.572263776860414]"
636,16-17,Aug 22 2016,6,,MASCOT PARK (Silkeborg),4042,Esbjerg,OB,Won,Lost,3,0,3,2,1,1,8,12,0.54,0.46,12,6,0,0,0,1,4,6,3.59,3.07,2.01,0,0,0,0,4,4,4,8,"[56.184187, 9.5751522579733]"
637,16-17,Aug 26 2016,7,,Ceres Park,4146,Randers,Silkeborg,Won,Lost,3,0,1,0,1,0,15,5,0.42,0.58,9,13,0,0,0,1,6,2,1.55,4.34,"30,069,444",0,0,0,0,7,3,8,2,"[56.1327356, 10.196762]"
638,16-17,Aug 26 2016,7,,MCH Arena,2314,Lyngby,Nordsjælland,Lost,Won,0,3,0,1,0,1,12,7,0.46,0.54,14,17,0,0,3,3,5,2,2.22,3.06,3.37,0,0,0,0,10,5,2,2,"[56.1169164, 8.951716477487706]"
639,16-17,Aug 28 2016,7,,Blue Water Arena,4958,Sønderjyske,Esbjerg,Draw,Draw,1,1,1,1,0,0,12,10,0.48,0.52,6,11,0,0,0,1,3,6,2.07,3.07,"17,222,222",0,0,0,0,6,4,6,6,"[55.48194305, 8.438397123328269]"
640,16-17,Aug 28 2016,7,,BioNutria Park Randers,4199,OB,Horsens,Lost,Won,0,3,0,1,0,1,17,5,0.33,"4,652,778",10,7,0,0,2,3,11,1,"9,791,667","18,333,333","21,875",0,0,0,0,4,4,13,1,"[56.46607165, 10.010154126188361]"
641,16-17,Aug 28 2016,7,,Lyngby Stadion,23518,Brøndby,København,Draw,Draw,1,1,1,1,0,1,21,11,0.44,0.56,21,15,0,0,3,3,8,3,"17,013,889",3.47,2.16,0,0,0,0,8,5,13,6,"[55.7813228, 12.505714505112913]"
642,16-17,Aug 28 2016,7,,Sydbank Park,6658,AaB,AGF,Won,Lost,3,0,2,1,0,0,9,17,0.56,0.44,7,14,0,0,2,2,2,6,1.09,"18,194,444",4.23,0,0,0,0,5,7,4,10,"[55.2613291, 9.487707200000001]"
643,16-17,Aug 28 2016,7,,EWII Park (Odense),6043,Viborg,Midtjylland,Draw,Draw,1,1,0,0,0,0,18,17,0.54,0.46,10,9,0,0,1,1,6,5,"14,791,667",3.59,2.47,0,0,0,0,4,6,14,11,"[55.397745, 10.35022492586062]"
644,16-17,Sep 09 2016,8,,Brøndby Stadion,4128,Randers,Lyngby,Won,Lost,3,0,2,0,2,0,9,12,"4,236,111",0.39,12,10,1,0,2,3,6,16,"9,652,778","17,708,333","23,472,222",0,0,0,0,4,0,5,12,"[55.6480283, 12.4154952]"
645,16-17,Sep 09 2016,8,,Aalborg Portland Park,7161,Midtjylland,Esbjerg,Won,Lost,3,0,3,0,0,0,23,6,0.41,0.59,9,8,0,0,1,2,6,0,1.06,4.33,"27,222,222",0,0,0,0,9,2,14,4,"[57.05203525, 9.898599342025985]"
646,16-17,Sep 10 2016,8,,Energi Viborg Arena,3096,Viborg,Horsens,Lost,Won,0,3,2,4,2,1,14,14,0.43,0.57,7,15,0,0,3,1,4,7,2.01,3.48,"18,194,444",0,0,0,0,5,6,9,8,"[56.455903899999996, 9.402020349999999]"
647,16-17,Sep 10 2016,8,,BioNutria Park Randers,14219,København,OB,Won,Lost,3,0,2,0,0,0,23,7,0.44,0.56,11,14,0,0,1,2,8,3,1.51,4.49,7.07,0,0,0,0,10,3,13,4,"[56.46607165, 10.010154126188361]"
648,16-17,Sep 11 2016,8,,MCH Arena,4820,Sønderjyske,Silkeborg,Draw,Draw,1,1,2,2,0,0,14,16,0.48,0.52,9,9,0,0,1,0,5,4,875,4.06,"25,555,556",0,0,0,0,6,4,8,12,"[56.1169164, 8.951716477487706]"
649,16-17,Sep 11 2016,8,,Energi Viborg Arena,11727,AaB,Brøndby,Lost,Won,0,3,0,1,0,1,8,20,0.47,0.53,15,15,0,0,0,2,6,6,"0,15",3.54,2.47,0,0,0,0,3,9,5,11,"[56.455903899999996, 9.402020349999999]"
650,16-17,Sep 12 2016,8,,Telia Parken,7563,AGF,Nordsjælland,Won,Lost,3,0,3,1,0,1,17,8,0.37,"4,375",13,13,0,0,1,1,13,1,2.06,"17,083,333","17,708,333",0,0,0,0,9,4,8,4,"[55.70270425, 12.572263776860414]"
651,16-17,Sep 16 2016,9,,Sydbank Park,4450,Esbjerg,Randers,Draw,Draw,1,1,1,1,1,0,10,15,0.54,0.46,10,7,0,0,0,1,6,7,3.45,3.58,2.19,0,0,0,0,3,6,7,9,"[55.2613291, 9.487707200000001]"
652,16-17,Sep 17 2016,9,,Aalborg Portland Park,4164,Silkeborg,AGF,Won,Lost,3,0,1,0,0,0,12,10,0.55,0.45,9,13,0,0,1,2,5,5,3.48,175,2.13,0,0,0,0,4,3,8,7,"[57.05203525, 9.898599342025985]"
653,16-17,Sep 18 2016,9,,Ceres Park,2887,Nordsjælland,Sønderjyske,Lost,Won,0,3,2,3,2,0,15,19,0.44,0.56,15,16,0,0,1,2,2,5,2.07,3.46,"13,402,778",0,0,0,0,8,4,7,15,"[56.1327356, 10.196762]"
654,16-17,Sep 18 2016,9,,Blue Water Arena,6520,OB,Midtjylland,Lost,Won,0,3,0,1,0,0,17,17,0.49,0.51,9,12,0,0,4,4,5,6,3.27,"17,291,667",2.23,0,0,0,0,3,10,14,7,"[55.48194305, 8.438397123328269]"
655,16-17,Sep 18 2016,9,,MASCOT PARK (Silkeborg),15778,Brøndby,Viborg,Lost,Won,0,3,1,2,0,1,14,13,0.55,0.45,8,8,0,0,2,2,4,9,1.57,4.03,6.45,0,0,0,0,8,7,6,6,"[56.184187, 9.5751522579733]"
656,16-17,Sep 18 2016,9,,Right to Dream Park,6095,Horsens,København,Lost,Won,0,3,0,2,0,2,4,14,,,4,1,0,0,3,1,0,6,"33,680,556","21,180,556",1.47,0,0,0,0,2,5,2,9,"[55.81619865, 12.353032590985052]"
657,16-17,Sep 19 2016,9,,EWII Park (Odense),2648,Lyngby,AaB,Won,Lost,3,0,1,0,0,0,7,11,0.06,0.04,14,11,0,0,4,1,3,6,3.14,3.06,2.33,0,0,0,0,3,3,4,8,"[55.397745, 10.35022492586062]"
658,16-17,Sep 20 2016,10,,Brøndby Stadion,4032,Esbjerg,Silkeborg,Draw,Draw,1,1,0,0,0,0,10,19,0.47,0.53,18,7,0,0,1,1,4,5,2.17,3.06,3.05,0,0,0,0,2,5,8,14,"[55.6480283, 12.4154952]"
