index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
1780,21-22,Aug 08 2021,4,Michael Tykgaard,Energi Viborg Arena (Viborg),,Randers,Sønderjyske,Won,Lost,3,0,1,0,1,0,18,17,0.59,0.41,5,9,0,0,2,1,6,4,"8,472,222","17,708,333",5.05,"10,277,778",1.16,2.05,1.09,8,6,10,11,"[56.455903899999996, 9.402020349999999]"
1781,21-22,Aug 08 2021,4,Mads-Kristoffer Kristoffersen,Ceres Park & Arena (Århus),,København,Brøndby,Won,Lost,3,0,4,2,2,1,15,11,0.58,0.42,9,10,0,0,3,3,3,5,"9,861,111","17,013,889","18,402,778",1.53,1.08,"10,069,444",1.25,9,4,6,7,"[56.1316074, 10.19619137741853]"
1782,21-22,Aug 08 2021,4,Jørgen Daugbjerg Burchardt,JYSK park (Silkeborg),,AaB,AGF,Won,Lost,3,0,2,0,1,0,8,17,0.53,0.47,21,15,0,0,2,4,5,9,2.33,3.02,"14,930,556",0.06,"6,111,111",1.07,"10,208,333",4,6,4,11,"[56.184187, 9.5751522579733]"
1783,21-22,Aug 09 2021,4,Sandi Putros,Vejle Stadion (Vejle),,Nordsjælland,OB,Won,Lost,3,0,3,1,1,0,15,7,0.53,0.47,11,9,0,0,1,2,4,7,"13,541,667",3.05,2.04,"9,930,556",1.05,"9,375",1.01,6,4,9,3,"[55.71372409999999, 9.556157838024756]"
1784,21-22,Aug 13 2021,5,Morten Krogh,Nature Energy Park (Odense),,Sønderjyske,Midtjylland,Lost,Won,0,3,0,2,0,1,14,15,0.39,"4,236,111",9,9,0,1,2,1,7,8,5.05,"17,013,889","8,680,556",1.19,"10,347,222",875,1.59,6,5,8,10,"[55.397745, 10.35022492586062]"
1785,21-22,Aug 13 2021,5,Aydin Uslu,Sydbank Park (Haderslev),5085,Viborg,Randers,Lost,Won,0,3,1,2,1,2,32.00.00,11,0.44,0.56,5,5,0,0,4,1,7,5,3.35,3.25,2.15,1.04,1.49,3.02,1.58,10,7,22,4,"[55.2613291, 9.487707200000001]"
1786,21-22,Aug 13 2021,5,Peter Kjærsgaard-Andersen,JYSK park (Silkeborg),,Brøndby,Nordsjælland,Lost,Won,0,3,0,1,0,0,10,10,0.42,0.58,5,15,0,0,1,4,7,5,2.35,3.55,"13,541,667",1.28,2.01,1.45,1.08,5,2,5,8,"[56.184187, 9.5751522579733]"
1787,21-22,Aug 15 2021,5,Jonas Hansen,MCH Arena (Herning),,OB,Silkeborg,Draw,Draw,1,1,1,1,0,0,11,18,"4,236,111",0.39,7,11,0,0,1,2,6,5,2.01,3.04,3.35,2.19,1.46,1.22,2.07,3,7,8,11,"[56.1169164, 8.951716477487706]"
1788,21-22,Aug 15 2021,5,Jakob A. Sundberg,Cepheus Park Randers (Randers),,AGF,København,Lost,Won,0,3,1,3,0,2,12,14,0.05,0.05,9,15,0,0,1,4,3,6,3.04,3.05,2.05,1.52,"9,305,556",1.51,"9,375",4,9,8,5,"[56.46607165, 10.010154126188361]"
1789,21-22,Aug 16 2021,5,Jakob Kehlet,Parken (København),,Vejle,AaB,Lost,Won,0,3,0,1,0,1,11,23,0.05,0.05,9,15,0,0,1,2,7,7,3.25,3.45,2.01,1.55,"8,541,667",1.14,2.46,3,8,8,15,"[55.70270425, 12.572263776860414]"
1790,21-22,Aug 20 2021,6,Mads-Kristoffer Kristoffersen,Aalborg Portland Park (Aalborg),,Midtjylland,Silkeborg,Won,Lost,3,0,3,0,2,0,17,13,0.59,0.41,5,5,0,0,0,2,3,5,1.05,4.35,6,2.44,"9,513,889","11,041,667",1.44,8,4,9,9,"[57.05203525, 9.898599342025985]"
1791,21-22,Aug 21 2021,6,Jørgen Daugbjerg Burchardt,Right to Dream Park (Farum),,OB,Brøndby,Draw,Draw,1,1,2,2,0,2,22,15,0.49,0.51,8,8,0,0,0,2,4,6,2.33,3.16,"13,611,111",1.07,"8,402,778",2.15,1.47,5,4,17,11,"[55.81619865, 12.353032590985052]"
1792,21-22,Aug 22 2021,6,Mikkel Redder,Sydbank Park (Haderslev),,Randers,AaB,Draw,Draw,1,1,1,1,1,1,10,11,0.55,0.45,14,7,0,0,6,3,4,4,2.04,3.03,2.08,"10,902,778","10,486,111",1.24,1.03,5,4,5,7,"[55.2613291, 9.487707200000001]"
1793,21-22,Aug 22 2021,6,Peter Kjærsgaard-Andersen,Energi Viborg Arena (Viborg),,København,Sønderjyske,Won,Lost,3,0,2,0,0,0,21,10,0.34,"4,583,333",6,13,0,0,1,1,5,2,1.29,5.05,10,"8,611,111",1.53,2.37,1.18,9,4,12,6,"[56.455903899999996, 9.402020349999999]"
