index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,h_total_shots,a_total_shots,gps,lon,lat,reg,city
478,15-16,Nov 01 2015,14,,Telia Parken,16492,Kobenhavn,Randers,Won,Lost,3,0,4,0,2,0,50,50,7,10,0,0,1,3,6,4,1.83,3.7,4.77,0,0,0,0,5,5,4,5,9,10,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
479,15-16,Nov 01 2015,14,,EWII Park (Odense),10272,OB,Brondby,Lost,Won,0,3,2,5,1,3,51,49,8,7,0,0,0,1,2,6,3.16,3.49,2.37,0,0,0,0,7,6,2,7,9,13,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
480,15-16,Nov 02 2015,14,,Ceres Park,5240,AGF,Sonderjyske,Draw,Draw,1,1,0,0,0,0,39,61,12,22,0,0,2,2,7,1,0,0,0,0,0,0,0,3,2,9,2,12,4,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
481,15-16,Nov 06 2015,15,,Sydbank Park,3855,Sonderjyske,AaB,Lost,Won,0,3,1,2,0,1,56,44,8,7,0,0,2,2,4,7,2.91,3.51,2.52,0,0,0,0,5,2,4,2,9,4,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
482,15-16,Nov 06 2015,15,,BioNutria Park Randers,6023,Randers,AGF,Won,Lost,3,0,4,1,2,1,59,41,14,8,0,0,3,1,1,6,1.99,3.58,4.11,0,0,0,0,3,2,1,5,4,7,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
483,15-16,Nov 07 2015,15,,HDS Arena,1704,Hobro,Nordsjaelland,Lost,Won,0,3,0,1,0,0,52,48,10,18,0,0,1,3,8,1,4.56,3.72,1.86,0,0,0,0,3,7,4,2,7,9,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
484,15-16,Nov 08 2015,15,,Energi Viborg Arena,3803,Viborg,OB,Lost,Won,0,3,0,1,0,0,58,42,9,9,0,0,0,2,7,4,2.12,3.52,3.71,0,0,0,0,2,5,8,7,10,12,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
485,15-16,Nov 08 2015,15,,MCH Arena,7194,Midtjylland,Esbjerg,Won,Lost,3,0,5,1,2,0,42,58,11,10,0,1,0,1,8,4,1.81,3.75,4.88,0,0,0,0,8,0,3,4,11,4,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
486,15-16,Nov 08 2015,15,,Brondby Stadion,25102,Brondby,Kobenhavn,Draw,Draw,1,1,0,0,0,0,38,62,10,9,0,1,2,3,6,4,3.15,3.48,2.38,0,0,0,0,3,3,7,5,10,8,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
487,15-16,Nov 20 2015,16,,EWII Park (Odense),4511,OB,Midtjylland,Draw,Draw,1,1,1,1,0,0,48,52,9,21,0,0,1,1,14,4,3.32,3.37,2.34,0,0,0,0,6,2,7,6,13,8,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
488,15-16,Nov 21 2015,16,,Right to Dream Park,2942,Nordsjaelland,Sonderjyske,Lost,Won,0,3,1,2,1,1,48,52,12,15,0,0,3,1,2,6,2.38,3.4,3.22,0,0,0,0,7,4,0,3,7,7,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
489,15-16,Nov 22 2015,16,,Blue Water Arena,5148,Esbjerg,Hobro,Draw,Draw,1,1,4,4,1,3,36,64,9,10,0,1,0,2,9,2,1.59,4.2,6.29,0,0,0,0,8,2,6,0,14,2,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
490,15-16,Nov 22 2015,16,,Telia Parken,7785,Kobenhavn,Viborg,Draw,Draw,1,1,0,0,0,0,39,61,14,11,0,0,1,2,5,3,1.46,4.57,8.35,0,0,0,0,7,4,9,3,16,7,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
491,15-16,Nov 22 2015,16,,Ceres Park,6194,AGF,Brondby,Draw,Draw,1,1,1,1,0,1,46,54,10,15,0,0,2,1,7,5,3.47,3.44,2.24,0,0,0,0,4,0,8,2,12,2,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
492,15-16,Nov 23 2015,16,,Aalborg Portland Park,5831,AaB,Randers,Won,Lost,3,0,3,2,0,1,40,60,7,15,0,0,2,3,5,3,1.95,3.65,4.19,0,0,0,0,8,3,7,7,15,10,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
493,15-16,Nov 27 2015,17,,Energi Viborg Arena,3271,Viborg,AGF,Won,Lost,3,0,1,0,1,0,61,39,17,7,0,0,1,1,6,3,2.4,3.39,3.19,0,0,0,0,4,4,3,5,7,9,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
494,15-16,Nov 28 2015,17,,BioNutria Park Randers,4874,Randers,Nordsjaelland,Won,Lost,3,0,1,0,1,0,50,50,18,10,0,1,2,1,5,3,2.04,3.56,3.94,0,0,0,0,4,2,6,2,10,4,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
495,15-16,Nov 29 2015,17,,Sydbank Park,3255,Sonderjyske,Hobro,Won,Lost,3,0,2,0,1,0,45,55,7,17,0,0,2,3,7,1,1.63,4.15,5.92,0,0,0,0,3,0,3,0,6,0,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
496,15-16,Nov 29 2015,17,,Brondby Stadion,10058,Brondby,AaB,Lost,Won,0,3,0,2,0,2,49,51,10,11,0,0,3,2,4,6,2.17,3.46,3.63,0,0,0,0,7,2,5,5,12,7,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
497,15-16,Nov 30 2015,17,,EWII Park (Odense),4310,OB,Esbjerg,Won,Lost,3,0,2,1,0,1,48,52,14,16,0,0,4,2,5,4,2.46,3.55,2.97,0,0,0,0,5,4,6,3,11,7,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
498,15-16,Dec 04 2015,18,,HDS Arena,4892,AGF,Midtjylland,Won,Lost,3,0,2,1,1,1,56,44,15,12,0,0,4,0,3,4,3.54,3.42,2.2,0,0,0,0,5,2,2,1,7,3,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
499,15-16,Dec 05 2015,18,,Blue Water Arena,2423,Hobro,Randers,Draw,Draw,1,1,0,0,0,0,65,35,16,13,0,0,2,0,2,8,4.53,3.52,1.93,0,0,0,0,4,7,6,7,10,14,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
501,15-16,Dec 06 2015,18,,Right to Dream Park,4188,Nordsjaelland,Brondby,Lost,Won,0,3,0,2,0,2,48,52,9,12,0,0,1,2,4,7,3.09,3.31,2.5,0,0,0,0,5,7,4,2,9,9,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
502,15-16,Dec 06 2015,18,,Telia Parken,14636,Kobenhavn,OB,Won,Lost,3,0,4,1,2,0,53,47,8,7,0,0,0,0,7,3,1.52,4.31,7.31,0,0,0,0,4,5,6,4,10,9,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
503,15-16,Dec 07 2015,18,,Aalborg Portland Park,8360,AaB,Viborg,Won,Lost,3,0,2,0,1,0,51,49,11,6,0,0,3,1,4,5,1.79,3.81,4.92,0,0,0,0,6,6,2,8,8,14,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
504,15-16,Feb 26 2016,19,,EWII Park (Odense),7459,OB,AGF,Draw,Draw,1,1,2,2,0,2,48,52,12,18,0,0,2,5,6,3,0,0,0,0,0,0,0,6,7,2,6,8,13,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
505,15-16,Feb 27 2016,19,,BioNutria Park Randers,4581,Randers,Sonderjyske,Draw,Draw,1,1,1,1,0,0,41,59,12,7,0,0,2,2,5,3,1.99,3.5,4.25,0,0,0,0,5,0,4,5,9,5,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
506,15-16,Feb 28 2016,19,,Energi Viborg Arena,3162,Viborg,Nordsjaelland,Draw,Draw,1,1,1,1,0,1,41,59,17,11,1,0,2,2,10,2,2.48,3.29,3.14,0,0,0,0,5,0,7,4,12,4,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
507,15-16,Feb 28 2016,19,,Telia Parken,16874,Kobenhavn,Esbjerg,Won,Lost,3,0,2,1,1,1,45,55,14,14,0,0,2,2,5,1,1.45,4.65,8.38,0,0,0,0,5,0,5,2,10,2,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
508,15-16,Feb 28 2016,19,,Brondby Stadion,11186,Brondby,Hobro,Won,Lost,3,0,1,0,0,0,37,63,14,13,0,0,3,2,6,2,1.47,4.51,8.05,0,0,0,0,6,0,10,6,16,6,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
509,15-16,Feb 29 2016,19,,MCH Arena,6932,Midtjylland,AaB,Draw,Draw,1,1,1,1,1,0,46,54,14,11,0,0,1,3,5,4,2.15,3.49,3.64,0,0,0,0,6,5,4,4,10,9,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
510,15-16,Mar 03 2016,17,,MCH Arena,9522,Midtjylland,Kobenhavn,Lost,Won,0,3,0,1,0,0,55,45,8,13,0,0,3,2,2,6,2.94,3.33,2.6,0,0,0,0,2,2,2,5,4,7,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
511,15-16,Mar 04 2016,20,,Aalborg Portland Park,5620,AaB,OB,Lost,Won,0,3,0,1,0,0,39,61,7,8,0,0,1,1,12,5,1.7,3.98,5.34,0,0,0,0,2,3,12,0,14,3,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
512,15-16,Mar 05 2016,20,,HDS Arena,1740,Hobro,Viborg,Lost,Won,0,3,0,6,0,2,58,42,11,10,0,0,1,1,0,5,3.73,3.37,2.18,0,0,0,0,7,2,3,5,10,7,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
513,15-16,Mar 06 2016,20,,Blue Water Arena,5012,Esbjerg,Randers,Won,Lost,3,0,1,0,0,0,50,50,7,12,0,0,0,2,4,14,2.96,3.41,2.54,0,0,0,0,2,3,3,4,5,7,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
514,15-16,Mar 06 2016,20,,Sydbank Park,6285,Sonderjyske,Brondby,Won,Lost,3,0,3,1,2,1,53,47,9,18,0,1,3,3,6,7,3.17,3.37,2.42,0,0,0,0,6,4,6,4,12,8,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
515,15-16,Mar 06 2016,20,,Ceres Park,9225,AGF,Kobenhavn,Draw,Draw,1,1,0,0,0,0,40,60,9,10,0,1,1,1,7,3,0,0,0,0,0,0,0,5,2,4,6,9,8,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
516,15-16,Mar 07 2016,20,,Right to Dream Park,3279,Nordsjaelland,Midtjylland,Won,Lost,3,0,2,1,0,1,42,58,13,11,0,1,3,4,8,1,3.11,3.4,2.44,0,0,0,0,8,0,2,5,10,5,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
517,15-16,Mar 11 2016,21,,Blue Water Arena,5825,Esbjerg,AGF,Won,Lost,3,0,2,1,1,0,56,44,13,11,0,0,0,0,3,6,2.67,3.32,2.86,0,0,0,0,2,4,3,9,5,13,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
518,15-16,Mar 12 2016,21,,Energi Viborg Arena,3167,Viborg,Sonderjyske,Draw,Draw,1,1,0,0,0,0,52,48,17,10,0,0,3,2,5,3,2.3,3.34,3.44,0,0,0,0,3,2,6,2,9,4,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
519,15-16,Mar 13 2016,21,,EWII Park (Odense),5044,OB,Nordsjaelland,Won,Lost,3,0,3,1,1,1,56,44,8,11,0,0,0,0,6,3,2.24,3.42,3.5,0,0,0,0,6,6,2,2,8,8,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
520,15-16,Mar 13 2016,21,,Brondby Stadion,12350,Brondby,Randers,Won,Lost,3,0,1,0,1,0,50,50,14,11,0,0,1,1,2,4,2.2,3.31,3.71,0,0,0,0,6,4,0,4,6,8,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
521,15-16,Mar 13 2016,21,,Telia Parken,16296,Kobenhavn,AaB,Won,Lost,3,0,6,2,3,1,50,50,16,5,0,0,1,2,3,2,1.76,3.68,5.39,0,0,0,0,6,5,3,2,9,7,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
522,15-16,Mar 14 2016,21,,MCH Arena,5344,Midtjylland,Hobro,Won,Lost,3,0,3,0,1,0,40,60,6,11,0,0,1,1,2,4,1.32,5.62,9.99,0,0,0,0,6,2,9,4,15,6,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
523,15-16,Mar 18 2016,22,,Aalborg Portland Park,6648,AaB,AGF,Draw,Draw,1,1,2,2,1,0,49,51,5,17,0,0,3,1,3,5,1.96,3.73,4.04,0,0,0,0,2,9,2,8,4,17,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
524,15-16,Mar 19 2016,22,,HDS Arena,1512,Hobro,OB,Lost,Won,0,3,0,2,0,0,47,53,14,8,0,0,3,0,2,6,4.25,3.69,1.93,0,0,0,0,4,4,3,4,7,8,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
525,15-16,Mar 20 2016,22,,Sydbank Park,6545,Sonderjyske,Midtjylland,Won,Lost,3,0,3,2,0,2,55,45,8,11,0,0,2,1,5,9,3.5,3.37,2.26,0,0,0,0,3,6,3,6,6,12,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
526,15-16,Mar 20 2016,22,,BioNutria Park Randers,4869,Randers,Viborg,Lost,Won,0,3,1,3,1,2,40,60,13,5,0,0,0,0,1,1,2.12,3.32,3.96,0,0,0,0,4,2,6,2,10,4,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
527,15-16,Mar 20 2016,22,,Right to Dream Park,7351,Nordsjaelland,Kobenhavn,Won,Lost,3,0,2,0,0,0,55,45,6,11,0,0,0,1,1,6,4.71,3.57,1.88,0,0,0,0,5,8,5,3,10,11,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
528,15-16,Mar 20 2016,22,,Brondby Stadion,11693,Brondby,Esbjerg,Draw,Draw,1,1,0,0,0,0,47,53,9,13,0,0,1,3,6,3,2.06,3.49,3.95,0,0,0,0,4,2,10,4,14,6,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
529,15-16,Apr 01 2016,23,,Aalborg Portland Park,5447,AaB,Nordsjaelland,Won,Lost,3,0,1,0,1,0,55,45,8,15,0,0,0,0,4,4,1.81,3.75,4.83,0,0,0,0,4,5,2,7,6,12,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
530,15-16,Apr 02 2016,23,,Ceres Park,8382,AGF,Hobro,Draw,Draw,1,1,1,1,1,0,41,59,13,18,0,0,2,3,7,6,1.46,4.64,8,0,0,0,0,3,0,8,3,11,3,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
531,15-16,Apr 03 2016,23,,EWII Park (Odense),6611,OB,Randers,Lost,Won,0,3,0,1,0,1,47,53,15,7,0,0,0,1,4,0,2.53,3.37,3,0,0,0,0,4,4,3,8,7,12,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
532,15-16,Apr 03 2016,23,,Telia Parken,15842,Kobenhavn,Sonderjyske,Won,Lost,3,0,1,0,1,0,38,62,15,10,0,0,1,4,10,1,1.56,4.04,7.26,0,0,0,0,4,2,15,4,19,6,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
533,15-16,Apr 03 2016,23,,MCH Arena,9508,Midtjylland,Brondby,Won,Lost,3,0,2,0,1,0,52,48,10,14,0,0,1,3,6,5,2.16,3.36,3.78,0,0,0,0,6,2,7,4,13,6,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
534,15-16,Apr 04 2016,23,,Blue Water Arena,5629,Esbjerg,Viborg,Won,Lost,3,0,1,0,1,0,44,56,9,12,0,0,3,0,2,7,2.52,3.3,3.07,0,0,0,0,6,9,2,6,8,15,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
535,15-16,Apr 08 2016,24,,Energi Viborg Arena,7502,Viborg,Midtjylland,Draw,Draw,1,1,1,1,0,0,52,48,9,12,0,0,0,1,7,5,2.93,3.31,2.62,0,0,0,0,6,6,6,4,12,10,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
536,15-16,Apr 09 2016,24,,Sydbank Park,5347,Sonderjyske,AGF,Draw,Draw,1,1,2,2,0,1,57,43,14,14,1,0,4,1,6,7,0,0,0,0,0,0,0,3,4,1,3,4,7,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
537,15-16,Apr 10 2016,24,,HDS Arena,3487,Hobro,AaB,Lost,Won,0,3,0,2,0,0,55,45,17,6,0,0,3,1,1,9,6.88,4.64,1.51,0,0,0,0,3,4,4,4,7,8,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
538,15-16,Apr 10 2016,24,,BioNutria Park Randers,5705,Randers,Kobenhavn,Draw,Draw,1,1,1,1,0,0,52,48,11,11,0,0,2,3,3,3,3.97,3.31,2.12,0,0,0,0,4,3,3,3,7,6,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
539,15-16,Apr 10 2016,24,,Brondby Stadion,11263,Brondby,OB,Won,Lost,3,0,1,0,1,0,47,53,5,12,0,0,2,1,8,4,2.03,3.46,4.12,0,0,0,0,3,5,6,0,9,5,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
540,15-16,Apr 11 2016,24,,Right to Dream Park,2107,Nordsjaelland,Esbjerg,Draw,Draw,1,1,0,0,0,0,46,54,11,11,0,0,1,1,5,1,2.22,3.44,3.51,0,0,0,0,5,3,6,9,11,12,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
541,15-16,Apr 15 2016,25,,Right to Dream Park,2357,Nordsjaelland,Hobro,Won,Lost,3,0,2,1,1,1,41,59,10,14,0,0,0,2,7,3,1.44,4.79,8.23,0,0,0,0,6,3,6,6,12,9,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
542,15-16,Apr 16 2016,25,,Ceres Park,7713,AGF,Randers,Lost,Won,0,3,0,2,0,0,57,43,13,10,0,0,1,1,5,6,2.64,3.36,2.87,0,0,0,0,2,3,4,3,6,6,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
543,15-16,Apr 17 2016,25,,EWII Park (Odense),4722,OB,Viborg,Won,Lost,3,0,5,1,2,0,46,54,12,8,0,0,3,3,3,4,2.51,3.33,3.06,0,0,0,0,3,4,5,6,8,10,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
544,15-16,Apr 17 2016,25,,Aalborg Portland Park,6185,AaB,Sonderjyske,Lost,Won,0,3,1,2,1,1,43,57,11,9,0,0,2,1,5,6,1.85,3.7,4.64,0,0,0,0,4,5,5,5,9,10,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
545,15-16,Apr 17 2016,25,,Telia Parken,29178,Kobenhavn,Brondby,Won,Lost,3,0,2,0,1,0,42,58,8,12,0,0,1,3,4,2,1.69,3.76,5.98,0,0,0,0,4,3,6,1,10,4,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
546,15-16,Apr 18 2016,25,,Blue Water Arena,5596,Esbjerg,Midtjylland,Lost,Won,0,3,0,2,0,1,52,48,10,15,0,0,2,0,4,5,2.98,3.43,2.51,0,0,0,0,4,4,5,6,9,10,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
547,15-16,Apr 22 2016,26,,MCH Arena,7011,Midtjylland,OB,Won,Lost,3,0,2,0,1,0,48,52,15,5,0,0,3,1,6,3,1.85,3.8,4.49,0,0,0,0,8,3,4,3,12,6,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
548,15-16,Apr 23 2016,26,,HDS Arena,1570,Hobro,Esbjerg,Draw,Draw,1,1,2,2,0,1,52,48,16,14,0,0,6,4,3,5,4.85,3.82,1.79,0,0,0,0,3,7,9,4,12,11,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
549,15-16,Apr 24 2016,26,,Sydbank Park,5585,Sonderjyske,Nordsjaelland,Won,Lost,3,0,3,1,1,0,53,47,16,7,0,0,3,1,3,10,2.41,3.38,3.19,0,0,0,0,4,5,4,5,8,10,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
550,15-16,Apr 24 2016,26,,Energi Viborg Arena,4437,Viborg,Kobenhavn,Draw,Draw,1,1,1,1,1,0,68,32,16,9,1,0,3,0,4,11,4.75,3.47,1.9,0,0,0,0,2,12,2,8,4,20,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
551,15-16,Apr 24 2016,26,,Brondby Stadion,8440,Brondby,AGF,Won,Lost,3,0,2,1,1,1,41,59,11,12,0,1,0,2,4,4,1.96,3.52,4.32,0,0,0,0,0,3,11,3,11,6,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
552,15-16,Apr 25 2016,26,,BioNutria Park Randers,4136,Randers,AaB,Draw,Draw,1,1,0,0,0,0,49,51,8,10,0,0,1,0,6,0,2.56,3.34,2.98,0,0,0,0,6,4,5,1,11,5,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
553,15-16,Apr 29 2016,27,,Ceres Park,4672,AGF,Viborg,Lost,Won,0,3,1,2,0,1,38,62,14,8,0,0,3,2,7,1,2.5,3.29,3.11,0,0,0,0,4,6,9,3,13,9,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
554,15-16,Apr 30 2016,27,,HDS Arena,1337,Hobro,Sonderjyske,Lost,Won,0,3,1,2,1,2,50,50,18,10,0,0,3,3,4,3,5.59,3.88,1.7,0,0,0,0,6,2,5,7,11,9,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
555,15-16,May 01 2016,27,,Right to Dream Park,3702,Nordsjaelland,Randers,Draw,Draw,1,1,2,2,0,1,50,50,10,8,1,0,4,0,2,5,2.84,3.27,2.72,0,0,0,0,3,6,2,5,5,11,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
556,15-16,May 01 2016,27,,Aalborg Portland Park,9420,AaB,Brondby,Won,Lost,3,0,3,0,0,0,37,63,8,14,0,0,2,3,12,1,2.32,3.41,3.32,0,0,0,0,7,0,5,7,12,7,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
557,15-16,May 01 2016,27,,Telia Parken,18089,Kobenhavn,Midtjylland,Won,Lost,3,0,5,3,2,0,53,47,12,12,0,0,3,2,11,2,1.93,3.49,4.55,0,0,0,0,5,4,4,1,9,5,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
558,15-16,May 02 2016,27,,Blue Water Arena,5675,Esbjerg,OB,Lost,Won,0,3,0,2,0,1,56,44,8,6,0,0,3,2,4,6,2.58,3.47,2.86,0,0,0,0,6,4,4,6,10,10,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
559,15-16,May 06 2016,28,,Sydbank Park,7684,Sonderjyske,Esbjerg,Won,Lost,3,0,2,0,1,0,58,42,6,10,0,0,2,4,10,3,1.88,3.69,4.51,0,0,0,0,5,2,6,2,11,4,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
560,15-16,May 07 2016,28,,BioNutria Park Randers,4599,Randers,Hobro,Won,Lost,3,0,2,0,0,0,47,53,5,11,0,0,1,1,6,6,1.31,5.4,9.99,0,0,0,0,7,2,9,7,16,9,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
