index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,h_total_shots,a_total_shots,gps,lon,lat,reg,city
1822,21-22,Oct 03 2021,11,Anders Poulsen,JYSK park (Silkeborg),1,Silkeborg,Nordsjaelland,Won,Lost,3,0,4,1,2,1,48,52,6,8,0,0,2,3,1,5,2.35,3.6,2.8,1.56,1.54,1.49,1.79,6,6,8,10,14,16,"[56.184187, 9.5751522579733, 'Region Midtjylland']",56.184187,9.575152258,Region Midtjylland,Silkeborg
1823,21-22,Oct 03 2021,11,Sandi Putros,MCH Arena (Herning),1,Midtjylland,AGF,Won,Lost,3,0,4,0,4,0,42,58,9,12,0,0,1,1,1,7,1.77,3.6,4.5,1.94,1.43,1.39,1.06,7,3,4,6,11,9,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1824,21-22,Oct 03 2021,11,Jens Maae,Cepheus Park Randers (Randers),1,Randers,Brondby,Draw,Draw,1,1,1,1,1,1,54,46,10,7,0,0,1,2,3,5,2.39,3.5,2.9,1.73,1.56,1.08,1.4,3,5,5,6,8,11,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1825,21-22,Oct 03 2021,11,Morten Krogh,Parken (Kobenhavn),1,Kobenhavn,Viborg,Draw,Draw,1,1,1,1,0,0,42,58,6,12,0,0,2,0,8,10,1.58,4.5,5.1,1.82,1.7,1.87,1.24,7,3,7,8,14,11,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
1826,21-22,Oct 15 2021,12,Peter KjÂaersgaard-Andersen,Energi Viborg Arena (Viborg),1,Viborg,Silkeborg,Draw,Draw,1,1,1,1,0,0,64,36,9,8,0,0,0,0,3,9,2.24,3.85,2.9,2.19,1.71,1.11,2.37,3,8,7,14,10,22,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
1827,21-22,Oct 17 2021,12,Jens Maae,Right to Dream Park (Farum),1,Nordsjaelland,Midtjylland,Draw,Draw,1,1,2,2,2,0,61,39,10,9,0,0,1,2,3,6,5.17,4.1,1.63,1.74,1.64,1.25,1.4,5,6,7,4,12,10,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1828,21-22,Oct 17 2021,12,Aydin Uslu,Nature Energy Park (Odense),1,OB,Randers,Lost,Won,0,3,1,2,1,0,46,54,4,13,0,0,1,0,5,15,2.5,3.51,2.74,1.83,1.75,1.88,2.64,6,11,12,12,18,23,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
1829,21-22,Oct 17 2021,12,Mads-Kristoffer Kristoffersen,Brondby Stadion (Brondby),1,Brondby,Vejle,Won,Lost,3,0,3,2,1,1,39,61,6,10,0,1,2,3,5,8,1.5,4.38,6.15,1.65,1.38,2.03,1.73,6,6,13,10,19,16,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1830,21-22,Oct 17 2021,12,JÂorgen Daugbjerg Burchardt,Sydbank Park (Haderslev),1,Sonderjyske,Kobenhavn,Draw,Draw,1,1,1,1,1,0,60,40,8,15,0,0,2,2,2,13,4.84,4.03,1.48,1.69,1.8,1.1,1.41,3,3,6,7,9,10,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1831,21-22,Oct 18 2021,12,Jakob A. Sundberg,Ceres Park & Arena (Aarhus),1,AGF,AaB,Won,Lost,3,0,1,0,1,0,60,40,13,16,0,0,3,3,7,2,2.63,3.4,2.63,1.71,1.61,1.17,0.89,5,2,2,5,7,7,"[56.1316074, 10.19619137741853, 'Region Midtjylland']",56.1316074,10.19619138,Region Midtjylland,Aarhus
